species_pid,species,target,n,wasserstein_1d,observed_mean,observed_std,observed_q01,observed_q05,observed_median,observed_q95,observed_q99,sampled_mean,sampled_std,sampled_q01,sampled_q05,sampled_median,sampled_q95,sampled_q99,absolute_mean_difference,std_ratio
-211,pi-,delta_p,45448,0.022579360753297806,-0.7539961338043213,1.7300845384597778,-7.1290620422363284,-5.174265670776367,-0.013496339321136475,0.09851213395595554,0.709274584054946,-0.7728714346885681,1.7447874546051025,-7.115179347991943,-5.192561316490173,-0.01980021595954895,0.11176020205020909,0.7050250244140619,0.018875300884246826,1.0084983801765053
-211,pi-,delta_theta,45448,0.0014058892847970128,0.0015317254001274705,0.10603000968694687,-0.40230977088212966,-0.133376644551754,4.5205000787973404e-05,0.17593651115894318,0.35676294386386836,0.0011368838604539633,0.1061660423874855,-0.4126717635989189,-0.13872939348220825,-6.868690252304077e-05,0.17479696273803724,0.34723315119743337,0.0003948415396735072,1.0012829641432672
-211,pi-,delta_phi,45448,0.015871750190854073,-0.005814335774630308,0.6348106265068054,-2.3633674454689024,-0.9667496055364609,0.00019807188073173165,0.9073753923177724,2.594658098220824,-0.001870148815214634,0.6123812794685364,-2.1205822706222532,-1.015838623046875,0.0003725290298461914,0.9976901054382324,2.4007185316085806,0.003944186959415674,0.9646676566180188
211,pi+,delta_p,56726,0.039770420640707016,-0.6309280395507812,1.610655426979065,-6.97679603099823,-4.888371706008911,-0.009762316942214966,0.06735923886299133,0.2970403581857681,-0.6655461192131042,1.6570085287094116,-7.082415580749512,-5.010698556900024,-0.018908053636550903,0.07569226622581482,0.3958543837070465,0.034618079662323,1.0287790305449045
211,pi+,delta_theta,56726,0.0014314319705590606,0.004914546851068735,0.09256859868764877,-0.3688293918967247,-0.04113602265715599,6.269104778766632e-05,0.13678129017353058,0.3366132080554962,0.005415729247033596,0.09322550892829895,-0.3781360685825348,-0.0461534122005105,0.00012129172682762146,0.14435873180627823,0.32064130157232285,0.0005011823959648609,1.0070964695367894
211,pi+,delta_phi,56726,0.013685322366654873,0.005786696914583445,0.35826754570007324,-1.2383275032043457,-0.30489660799503326,-0.0006219503120519221,0.3627230003476143,1.4023865759372711,0.005016242619603872,0.35809966921806335,-1.308283418416977,-0.36700940132141113,-0.0003476142883300781,0.3704993724822998,1.4555388689041138,0.0007704542949795723,0.9995314214641411
2212,proton,delta_p,56274,0.008342177607119083,-0.41282516717910767,1.1604485511779785,-5.233830909729004,-3.5339651465415955,-0.009545326232910156,0.04293980598449706,0.18222713232040236,-0.4140384793281555,1.1624809503555298,-5.222720398902893,-3.521456754207611,-0.009113937616348267,0.04843727946281426,0.235392608642578,0.0012133121490478516,1.0017513910250377
2212,proton,delta_theta,56274,0.0008208716753870249,0.005519517697393894,0.08384831994771957,-0.3320933049917221,-0.02546240128576755,6.279023364186287e-05,0.12175612114369855,0.3213523471355425,0.005857895128428936,0.08477922528982162,-0.3319221779704094,-0.025748265720903867,7.918849587440491e-05,0.1278297670185561,0.3160059103369712,0.0003383774310350418,1.0111022539590833
2212,proton,delta_phi,56274,0.008174273185431957,0.00020657033019233495,0.3102878928184509,-1.152729343175888,-0.22390392124652858,-0.0008509590988978744,0.2483974985778331,1.1306583213806147,0.0011457183863967657,0.3116215765476227,-1.1880658721923827,-0.23799004554748532,-0.0005636215209960938,0.25709828138351404,1.240320043563842,0.0009391480562044308,1.0042982138847167
