species_pid,species,target,n,wasserstein_1d,observed_mean,observed_std,observed_q01,observed_q05,observed_median,observed_q95,observed_q99,sampled_mean,sampled_std,sampled_q01,sampled_q05,sampled_median,sampled_q95,sampled_q99,absolute_mean_difference,std_ratio
-211,pi-,delta_p,45817,0.01642436534166336,-0.7517400979995728,1.7334542274475098,-7.125682239532471,-5.153694820404053,-0.013357698917388916,0.10274659395217894,0.7244437432289088,-0.7483627200126648,1.7387137413024902,-7.209844303131104,-5.153251457214355,-0.01311028003692627,0.1139965534210205,0.8020892262458785,0.003377377986907959,1.0030341232965378
-211,pi-,delta_theta,45817,0.0017562933498993516,0.0015743608819320798,0.10505542159080505,-0.3926572167873382,-0.1311796188354492,4.575727507472038e-05,0.17462398111820207,0.3576724433898918,0.0012065486516803503,0.1056203842163086,-0.4075074660778046,-0.1396057844161987,5.8871228247880936e-05,0.17461547851562492,0.34063548564910834,0.0003678122302517295,1.0053777579200442
-211,pi-,delta_phi,45817,0.014675385318696499,-0.002866263734176755,0.6315938830375671,-2.364786024093628,-0.952768337726593,0.000202239491045475,0.906333267688747,2.5894942378997703,-0.0008397253113798797,0.5961794257164001,-2.1121488666534423,-0.9379853725433349,0.0002262592315673828,0.9213445186614929,2.3577469730377145,0.0020265384227968752,0.9439284352298571
-211,pi-,delta_beta,45817,0.0024413387291133404,-0.03607404977083206,0.09278181195259094,-0.45090726494789124,-0.2345482349395752,-0.002246469259262085,0.005884692445397372,0.011168293431401213,-0.03625873848795891,0.0927649661898613,-0.4519274652004242,-0.2394017547369003,-0.0021906401962041855,0.007133268937468525,0.03641832113265988,0.0001846887171268463,0.9998184367994639
211,pi+,delta_p,56774,0.016351332888007164,-0.6277274489402771,1.6097760200500488,-6.958702416419983,-4.885184717178345,-0.009321361780166626,0.06766074001789084,0.31247275650501055,-0.6335332989692688,1.6202605962753296,-7.003780632019043,-4.863214278221131,-0.009760111570358276,0.0761486411094665,0.42640457868575854,0.005805850028991699,1.0065130652306242
211,pi+,delta_theta,56774,0.0011528427712619305,0.004151775501668453,0.09375514090061188,-0.38476037442684174,-0.04348890502005815,7.452815771102905e-05,0.1322393998503684,0.33470593303441964,0.0047287046909332275,0.09359889477491379,-0.3810395050048828,-0.04442782420665026,7.953750900924206e-05,0.1438257277011871,0.3269601440429685,0.0005769291892647743,0.9983334660457316
211,pi+,delta_phi,56774,0.004797401372343302,0.004371132701635361,0.3595446050167084,-1.2520190012454986,-0.30617114901542664,-0.0006220501963980496,0.3504844605922692,1.4110691511630997,0.0029507360886782408,0.35255953669548035,-1.314921931028366,-0.3077111959457397,-0.0004673004150390625,0.3423707723617549,1.4126512336730943,0.00142039661295712,0.9805724568697021
211,pi+,delta_beta,56774,0.0030892633367329836,-0.02377242036163807,0.07740451395511627,-0.4048953548073769,-0.1623343236744404,-0.001748921349644661,0.00677095130085945,0.012610928118228911,-0.023577850311994553,0.07815916836261749,-0.395004885494709,-0.17877251133322716,-0.001664341427385807,0.008156261965632437,0.04529020525514991,0.00019457004964351654,1.0097494883559222
2212,proton,delta_p,55891,0.012298708781599998,-0.41633740067481995,1.1650543212890625,-5.199006795883179,-3.5496193170547485,-0.009338200092315674,0.044291526079177856,0.19757658839225758,-0.4154210686683655,1.1599853038787842,-5.225502395629883,-3.494300603866577,-0.009333610534667969,0.04755192995071411,0.2059285938739773,0.0009163320064544678,0.9956491149660132
2212,proton,delta_theta,55891,0.0007742283632978797,0.005964298266917467,0.08436204493045807,-0.3356341063976288,-0.023010894656181335,9.675323963165283e-05,0.12383264303207397,0.32623339891433684,0.005867060739547014,0.08449479192495346,-0.33600480258464815,-0.02602886315435171,9.635789319872856e-05,0.12780985981225967,0.3151121914386745,9.723752737045288e-05,1.001573539316227
2212,proton,delta_phi,55891,0.004646467976272106,0.0006283550756052136,0.3117733299732208,-1.1666581630706787,-0.22464900463819504,-0.0007718547713011503,0.27200213074684143,1.0798061013221738,-5.240296377451159e-05,0.30698108673095703,-1.168877363204956,-0.21949946880340576,-0.0006468296051025391,0.23715555667877197,1.193310976028442,0.0006807580393797252,0.9846290789443876
2212,proton,delta_beta,55891,0.0018970353994518518,-0.022629985585808754,0.07266835123300552,-0.3709335058927536,-0.15522531419992447,-0.002000296488404274,0.005805607885122299,0.013664875552058213,-0.021674299612641335,0.07064435631036758,-0.3596328467130661,-0.16081883013248444,-0.002049896866083145,0.006799491122364998,0.04138390868902202,0.0009556859731674194,0.9721475045422711
