generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45442,0.55391488050702,0.5545827746391296
211,pi+,56908,0.5900224924439446,0.5908318161964417
2212,proton,56014,0.8107437426357696,0.8142884969711304
