device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best_pidweight
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-4.11443 val_loss=-4.24129 val_nll=-5.68644 val_joint_nll=-4.96386 val_pid_acc=0.7371
epoch=48 train_loss=-4.11847 val_loss=-4.24235 val_nll=-5.68428 val_joint_nll=-4.96331 val_pid_acc=0.7383
epoch=49 train_loss=-4.12397 val_loss=-4.24445 val_nll=-5.68880 val_joint_nll=-4.96663 val_pid_acc=0.7371
epoch=50 train_loss=-4.12752 val_loss=-4.25606 val_nll=-5.69452 val_joint_nll=-4.97529 val_pid_acc=0.7386
epoch=51 train_loss=-4.13282 val_loss=-4.25636 val_nll=-5.69678 val_joint_nll=-4.97657 val_pid_acc=0.7382
epoch=52 train_loss=-4.13907 val_loss=-4.26807 val_nll=-5.70471 val_joint_nll=-4.98639 val_pid_acc=0.7393
epoch=53 train_loss=-4.14207 val_loss=-4.26844 val_nll=-5.70720 val_joint_nll=-4.98782 val_pid_acc=0.7386
epoch=54 train_loss=-4.14531 val_loss=-4.26914 val_nll=-5.70694 val_joint_nll=-4.98804 val_pid_acc=0.7389
epoch=55 train_loss=-4.14878 val_loss=-4.27295 val_nll=-5.70937 val_joint_nll=-4.99116 val_pid_acc=0.7395
epoch=56 train_loss=-4.15442 val_loss=-4.27419 val_nll=-5.71002 val_joint_nll=-4.99210 val_pid_acc=0.7393
epoch=57 train_loss=-4.15612 val_loss=-4.27535 val_nll=-5.71035 val_joint_nll=-4.99285 val_pid_acc=0.7394
epoch=58 train_loss=-4.16034 val_loss=-4.27985 val_nll=-5.71536 val_joint_nll=-4.99760 val_pid_acc=0.7390
epoch=59 train_loss=-4.16391 val_loss=-4.28214 val_nll=-5.71713 val_joint_nll=-4.99964 val_pid_acc=0.7397
epoch=60 train_loss=-4.16690 val_loss=-4.28632 val_nll=-5.72072 val_joint_nll=-5.00352 val_pid_acc=0.7396
epoch=61 train_loss=-4.16873 val_loss=-4.29012 val_nll=-5.72342 val_joint_nll=-5.00677 val_pid_acc=0.7401
epoch=62 train_loss=-4.17120 val_loss=-4.29035 val_nll=-5.72401 val_joint_nll=-5.00718 val_pid_acc=0.7396
epoch=63 train_loss=-4.17407 val_loss=-4.28801 val_nll=-5.72127 val_joint_nll=-5.00464 val_pid_acc=0.7397
epoch=64 train_loss=-4.17521 val_loss=-4.29444 val_nll=-5.72720 val_joint_nll=-5.01082 val_pid_acc=0.7400
epoch=65 train_loss=-4.17743 val_loss=-4.29327 val_nll=-5.72597 val_joint_nll=-5.00962 val_pid_acc=0.7402
epoch=66 train_loss=-4.17800 val_loss=-4.29782 val_nll=-5.73029 val_joint_nll=-5.01406 val_pid_acc=0.7402
epoch=67 train_loss=-4.17985 val_loss=-4.29816 val_nll=-5.73066 val_joint_nll=-5.01441 val_pid_acc=0.7400
epoch=68 train_loss=-4.17995 val_loss=-4.29725 val_nll=-5.72934 val_joint_nll=-5.01329 val_pid_acc=0.7400
epoch=69 train_loss=-4.18029 val_loss=-4.29818 val_nll=-5.73061 val_joint_nll=-5.01440 val_pid_acc=0.7401
epoch=70 train_loss=-4.18200 val_loss=-4.29856 val_nll=-5.73070 val_joint_nll=-5.01463 val_pid_acc=0.7401
test_nll=-5.728556
test_pid_accuracy=0.7402
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best_pidweight/model.pt
