generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1595,-2212,3,0.0018808777429467085,0.0010849035442044874,0.0019524224635540826,4.5939217969447133e-05,7.154472060737411e-05,7.154472060737411e-05
-211,pi-,0,0.0,1.0,False,1595,-321,9,0.005642633228840125,0.001875563684395312,0.007525656344254954,0.00015503511134113128,0.001883023115414829,0.001883023115414829
-211,pi-,0,0.0,1.0,False,1595,-211,872,0.5467084639498433,0.012464830006132632,0.5643858572095012,0.010538597288312345,0.017677393259657892,0.017677393259657892
-211,pi-,0,0.0,1.0,False,1595,-11,0,0.0,0.0,1.1478691857060128e-05,9.855733481131037e-07,1.1478691857060128e-05,1.1478691857060128e-05
-211,pi-,0,0.0,1.0,False,1595,11,2,0.0012539184952978057,0.0008860982006141496,0.0009206168785191228,1.7670187136980623e-05,-0.00033330161677868296,0.00033330161677868296
-211,pi-,0,0.0,1.0,False,1595,22,152,0.09529780564263322,0.007352142710398379,0.09305526586045106,0.0024797019963088127,-0.002242539782182168,0.002242539782182168
-211,pi-,0,0.0,1.0,False,1595,45,0,0.0,0.0,0.00021799590435205867,2.03350128751712e-05,0.00021799590435205867,0.00021799590435205867
-211,pi-,0,0.0,1.0,False,1595,211,0,0.0,0.0,0.0010763778092506048,0.0001107958884640769,0.0010763778092506048,0.0010763778092506048
-211,pi-,0,0.0,1.0,False,1595,321,0,0.0,0.0,9.556689459269338e-05,4.074637386483386e-06,9.556689459269338e-05,9.556689459269338e-05
-211,pi-,0,0.0,1.0,False,1595,2112,545,0.34169278996865204,0.011875499059028943,0.32165587032243004,0.009521813816591066,-0.020036919646222007,0.020036919646222007
