device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-4.86166 val_loss=-4.91280 val_nll=-5.30270 val_joint_nll=-4.32183 val_pid_acc=0.6798
epoch=48 train_loss=-4.86414 val_loss=-4.91473 val_nll=-5.30472 val_joint_nll=-4.32361 val_pid_acc=0.6799
epoch=49 train_loss=-4.86555 val_loss=-4.91502 val_nll=-5.30495 val_joint_nll=-4.32399 val_pid_acc=0.6795
epoch=50 train_loss=-4.86869 val_loss=-4.91998 val_nll=-5.30981 val_joint_nll=-4.32912 val_pid_acc=0.6798
epoch=51 train_loss=-4.86926 val_loss=-4.92909 val_nll=-5.31887 val_joint_nll=-4.33831 val_pid_acc=0.6799
epoch=52 train_loss=-4.87280 val_loss=-4.92154 val_nll=-5.31137 val_joint_nll=-4.33066 val_pid_acc=0.6799
epoch=53 train_loss=-4.87540 val_loss=-4.92796 val_nll=-5.31771 val_joint_nll=-4.33720 val_pid_acc=0.6798
epoch=54 train_loss=-4.87563 val_loss=-4.93103 val_nll=-5.32062 val_joint_nll=-4.34051 val_pid_acc=0.6802
epoch=55 train_loss=-4.87875 val_loss=-4.92999 val_nll=-5.31962 val_joint_nll=-4.33941 val_pid_acc=0.6800
epoch=56 train_loss=-4.88054 val_loss=-4.93204 val_nll=-5.32162 val_joint_nll=-4.34155 val_pid_acc=0.6802
epoch=57 train_loss=-4.88166 val_loss=-4.93045 val_nll=-5.31997 val_joint_nll=-4.34003 val_pid_acc=0.6802
epoch=58 train_loss=-4.88417 val_loss=-4.93618 val_nll=-5.32568 val_joint_nll=-4.34581 val_pid_acc=0.6801
epoch=59 train_loss=-4.88533 val_loss=-4.93650 val_nll=-5.32599 val_joint_nll=-4.34614 val_pid_acc=0.6800
epoch=60 train_loss=-4.88613 val_loss=-4.93568 val_nll=-5.32521 val_joint_nll=-4.34527 val_pid_acc=0.6802
epoch=61 train_loss=-4.88799 val_loss=-4.93822 val_nll=-5.32772 val_joint_nll=-4.34785 val_pid_acc=0.6800
epoch=62 train_loss=-4.89033 val_loss=-4.93966 val_nll=-5.32912 val_joint_nll=-4.34933 val_pid_acc=0.6801
epoch=63 train_loss=-4.89021 val_loss=-4.93813 val_nll=-5.32767 val_joint_nll=-4.34769 val_pid_acc=0.6803
epoch=64 train_loss=-4.89184 val_loss=-4.94099 val_nll=-5.33046 val_joint_nll=-4.35066 val_pid_acc=0.6801
epoch=65 train_loss=-4.89241 val_loss=-4.93938 val_nll=-5.32887 val_joint_nll=-4.34903 val_pid_acc=0.6802
epoch=66 train_loss=-4.89368 val_loss=-4.94237 val_nll=-5.33178 val_joint_nll=-4.35213 val_pid_acc=0.6801
epoch=67 train_loss=-4.89400 val_loss=-4.94340 val_nll=-5.33284 val_joint_nll=-4.35312 val_pid_acc=0.6801
epoch=68 train_loss=-4.89462 val_loss=-4.94194 val_nll=-5.33139 val_joint_nll=-4.35163 val_pid_acc=0.6802
epoch=69 train_loss=-4.89548 val_loss=-4.94313 val_nll=-5.33257 val_joint_nll=-4.35283 val_pid_acc=0.6802
epoch=70 train_loss=-4.89555 val_loss=-4.94359 val_nll=-5.33304 val_joint_nll=-4.35328 val_pid_acc=0.6801
test_nll=-5.336459
test_pid_accuracy=0.6793
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best/model.pt
