generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,46076,0.5511546141158087,0.5513795018196106
211,pi+,57340,0.591384722706662,0.5881259441375732
2212,proton,55981,0.8176345545810185,0.8132420182228088
