generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45981,0.5501837715578174,0.5539975166320801
211,pi+,56999,0.5910980894401656,0.5889460444450378
2212,proton,56005,0.8126417284171056,0.8178561925888062
