generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1618,0.016057073686651557,0.012734751100795819,22,1.0,0.9999999980547344
-211,pi-,1,1.0,2.0,False,5789,0.0057094619525895575,0.004503449029361506,-211,1.0,0.9999999987369805
-211,pi-,2,2.0,3.0,False,6490,0.006400996270698084,0.005638955855521113,22,0.9999999999999999,0.9999999989349136
-211,pi-,3,3.0,4.0,False,6924,0.006703504954830801,0.004312704393133332,22,0.9999999999999999,1.0000000014895716
-211,pi-,4,4.0,5.0,False,7027,0.006394208272757629,0.0033885017511866566,2112,1.0,0.9999999996320412
-211,pi-,5,5.0,6.0,False,6334,0.009379888334596976,0.003876641043939727,2112,1.0,0.99999999973966
-211,pi-,6,6.0,7.0,False,6015,0.004001970486810151,0.0017478381281742612,321,1.0,1.000000000598436
-211,pi-,7,7.0,8.0,False,4030,0.016442886053430222,0.015627470168530055,-211,0.9999999999999999,1.00000000010045
-211,pi-,8,8.0,9.0,True,1215,0.025682228839824173,0.013624064982059106,-2212,1.0,1.0000000012364245
211,pi+,0,0.0,1.0,False,3131,0.002895462353142774,0.0016607402985456274,321,1.0,0.9999999987892608
211,pi+,1,1.0,2.0,False,7561,0.0054576514536743255,0.004063394043403432,22,1.0000000000000002,1.000000000598463
211,pi+,2,2.0,3.0,False,7929,0.008132315925610553,0.0054246940731561555,2212,1.0,1.0000000003758103
211,pi+,3,3.0,4.0,False,8226,0.008327655465304118,0.006710646673357662,321,1.0,1.000000000269438
211,pi+,4,4.0,5.0,False,7885,0.013192027271808982,0.009238266185063043,321,0.9999999999999999,1.0000000001011478
211,pi+,5,5.0,6.0,False,7716,0.011026556745426293,0.0035852462479612074,22,1.0,1.0000000000185276
211,pi+,6,6.0,7.0,False,7252,0.008990283002255382,0.005245448497236516,22,1.0000000000000002,0.9999999996574683
211,pi+,7,7.0,8.0,False,5431,0.008466484708430602,0.004333391495044199,45,1.0,0.9999999991346545
211,pi+,8,8.0,9.0,True,1777,0.025967003763189667,0.017383801472542593,211,1.0,1.0000000010472294
2212,proton,0,0.0,1.0,False,3642,0.0035122593512589826,0.002449923396961484,2212,1.0,0.9999999991769135
2212,proton,1,1.0,2.0,False,9367,0.010281208703072541,0.008275208110054333,2212,1.0,1.000000000049126
2212,proton,2,2.0,3.0,False,9830,0.007459066996622079,0.006882329492821193,2212,1.0,1.0000000009703123
2212,proton,3,3.0,4.0,False,10066,0.009219421924587218,0.008423707419264459,2212,1.0,0.999999999872539
2212,proton,4,4.0,5.0,False,10535,0.004864674870317082,0.002647334789856348,2212,1.0,0.9999999999297802
2212,proton,5,5.0,6.0,False,9318,0.006002526861207152,0.004213036151973076,22,1.0,1.000000000389701
2212,proton,6,6.0,7.0,False,3256,0.015696318863663586,0.007728651367615302,45,1.0,0.9999999989096268
