generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45981,0.5501837715578174,0.5543361902236938
211,pi+,56999,0.5910980894401656,0.587500810623169
2212,proton,56005,0.8126417284171056,0.8169348239898682
