generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1554,-2212,2,0.001287001287001287,0.00090946153284367,0.0033149045432937785,6.96710971805564e-05,0.0020279032562924917,0.0020279032562924917
-211,pi-,0,0.0,1.0,False,1554,-321,15,0.009652509652509652,0.002480209791786323,0.0018995784307118257,4.9036974723573125e-05,-0.007752931221797827,0.007752931221797827
-211,pi-,0,0.0,1.0,False,1554,-211,812,0.5225225225225225,0.012670782775794313,0.5255380345853158,0.009675006933968007,0.0030155120627932686,0.0030155120627932686
-211,pi-,0,0.0,1.0,False,1554,-11,0,0.0,0.0,2.1387383279372756e-06,1.7886098169627833e-07,2.1387383279372756e-06,2.1387383279372756e-06
-211,pi-,0,0.0,1.0,False,1554,11,1,0.0006435006435006435,0.000643293563642184,0.0006243000707193873,1.4155310289432593e-05,-1.920057278125616e-05,1.920057278125616e-05
-211,pi-,0,0.0,1.0,False,1554,22,144,0.09266409266409266,0.007355535242908827,0.12598791953411187,0.0025760675647452822,0.03332382687001921,0.03332382687001921
-211,pi-,0,0.0,1.0,False,1554,45,0,0.0,0.0,6.472150429006012e-05,8.387495604722912e-06,6.472150429006012e-05,6.472150429006012e-05
-211,pi-,0,0.0,1.0,False,1554,211,1,0.0006435006435006435,0.000643293563642184,0.005476358961225378,0.0003613106688945127,0.004832858317724734,0.004832858317724734
-211,pi-,0,0.0,1.0,False,1554,321,0,0.0,0.0,0.00024853124031888304,1.7730723828240795e-05,0.00024853124031888304,0.00024853124031888304
-211,pi-,0,0.0,1.0,False,1554,2112,570,0.3667953667953668,0.01222526988416014,0.32122820515564354,0.007636332346356856,-0.04556716163972324,0.04556716163972324
-211,pi-,0,0.0,1.0,False,1554,2212,9,0.005791505791505791,0.0019249035564222077,0.01558589954716152,0.001907065696674382,0.009794393755655727,0.009794393755655727
-211,pi-,0,0.0,1.0,False,1554,OTHER,0,0.0,0.0,2.940928966056942e-05,5.682771352490196e-07,2.940928966056942e-05,2.940928966056942e-05
-211,pi-,1,1.0,2.0,False,5700,-2212,64,0.011228070175438596,0.0013956071819251493,0.015548676639963049,0.00013459350658866627,0.004320606464524453,0.004320606464524453
-211,pi-,1,1.0,2.0,False,5700,-321,134,0.023508771929824562,0.002006835230964768,0.02351496614144414,0.00024012198560191178,6.194211619577061e-06,6.194211619577061e-06
-211,pi-,1,1.0,2.0,False,5700,-211,4136,0.7256140350877193,0.00591012077490269,0.7151813851274617,0.003971289091269902,-0.010432649960257612,0.010432649960257612
-211,pi-,1,1.0,2.0,False,5700,-11,1,0.00017543859649122806,0.00017542320646562792,5.148862209120596e-06,1.454745660335159e-07,-0.00017028973428210746,0.00017028973428210746
-211,pi-,1,1.0,2.0,False,5700,11,8,0.0014035087719298245,0.000495866941521816,0.0030071884434249023,2.904625443832483e-05,0.0016036796714950779,0.0016036796714950779
-211,pi-,1,1.0,2.0,False,5700,22,550,0.09649122807017543,0.003910863658725229,0.0885018104005997,0.0014181937298848497,-0.007989417669575727,0.007989417669575727
-211,pi-,1,1.0,2.0,False,5700,45,1,0.00017543859649122806,0.00017542320646562792,0.00012042209628134515,6.9900112995118895e-06,-5.50165002098829e-05,5.50165002098829e-05
-211,pi-,1,1.0,2.0,False,5700,211,13,0.0022807017543859647,0.0006318311113855111,0.006363130584638719,0.0002530474742866485,0.0040824288302527545,0.0040824288302527545
-211,pi-,1,1.0,2.0,False,5700,321,0,0.0,0.0,0.00042314838187705486,1.5194753754847731e-05,0.00042314838187705486,0.00042314838187705486
-211,pi-,1,1.0,2.0,False,5700,2112,723,0.1268421052631579,0.0044079908618120936,0.1333034495698909,0.002736113734112507,0.006461344306733008,0.006461344306733008
-211,pi-,1,1.0,2.0,False,5700,2212,70,0.012280701754385965,0.001458783807245514,0.014006719308788872,0.0009260617173474812,0.001726017554402907,0.001726017554402907
-211,pi-,1,1.0,2.0,False,5700,OTHER,0,0.0,0.0,2.3954376904639143e-05,2.775917064371722e-07,2.3954376904639143e-05,2.3954376904639143e-05
-211,pi-,2,2.0,3.0,False,6579,-2212,241,0.036631706946344426,0.002316033351828601,0.03527937239363344,0.0002262419014426028,-0.0013523345527109848,0.0013523345527109848
-211,pi-,2,2.0,3.0,False,6579,-321,334,0.05076759385924912,0.0027064476131315085,0.0756761210310217,0.0004851395570659164,0.024908527171772575,0.024908527171772575
-211,pi-,2,2.0,3.0,False,6579,-211,4535,0.6893144854841161,0.005705441566833074,0.6513756026109764,0.0031687116522706033,-0.037938882873139734,0.037938882873139734
