species_pid,species,target,n,wasserstein_1d,observed_mean,observed_std,observed_q01,observed_q05,observed_median,observed_q95,observed_q99,sampled_mean,sampled_std,sampled_q01,sampled_q05,sampled_median,sampled_q95,sampled_q99,absolute_mean_difference,std_ratio
11,electron,delta_p,167659,0.01475510187447071,-0.1502600908279419,0.4598844349384308,-2.4180527925491333,-0.9484097719192506,-0.016090333461761475,0.03819123804569246,0.1479591393470772,-0.15679007768630981,0.46256759762763977,-2.3950031280517576,-0.9565931797027588,-0.02707168459892273,0.04032611250877384,0.18620341777801513,0.00652998685836792,1.0058344281418619
11,electron,delta_theta,167659,0.00025163483223877847,0.00023740272445138544,0.003771863179281354,-0.009008907806128263,-0.0030298929195851088,8.851499296724796e-05,0.003844549646601088,0.012045054435730054,0.00026456371415406466,0.0038813285063952208,-0.011440442316234112,-0.0035260205622762446,0.00015411735512316227,0.004508264455944301,0.01367772782221444,2.7160989702679217e-05,1.0290215529861089
11,electron,delta_phi,167659,0.0013623448321595788,0.006184590980410576,0.030615903437137604,-0.028781341984868054,-0.007628620974719525,0.001173072261735797,0.03574066832661631,0.1339873030781746,0.0055617522448301315,0.03120121918618679,-0.03879032611846924,-0.009224700927734374,0.0008261203765869141,0.033843541145324736,0.15972239971161092,0.0006228387355804443,1.0191180296296332
-211,pi-,delta_p,45981,0.06463135778903961,-0.7546717524528503,1.7372878789901733,-7.126418685913086,-5.170051574707031,-0.01340678334236145,0.10274919867515564,0.7255154132842986,-0.8007145524024963,1.7601609230041504,-6.9211071014404295,-5.235888957977295,-0.023705869913101196,0.11742326617240906,0.7640700578689564,0.046042799949645996,1.0131659492307472
-211,pi-,delta_theta,45981,0.0032554843928664923,0.001606381731107831,0.10501648485660553,-0.3924281656742096,-0.13105280697345734,4.484574310481548e-05,0.17478717863559723,0.3574690222740173,0.003169308416545391,0.1038234755396843,-0.398168271780014,-0.11902213096618652,-0.0001410751137882471,0.17938606441020966,0.33496299386024453,0.00156292668543756,0.9886397900429611
-211,pi-,delta_phi,45981,0.017914067953824997,-0.0028997319750487804,0.6320613622665405,-2.3658711910247803,-0.9527084827423096,0.00020058546215295792,0.9074898362159729,2.5916001319885247,-0.015274043194949627,0.5950960516929626,-2.267459774017334,-0.9693200588226318,-0.0009598731994628906,0.8578972816467285,2.2097351551055864,0.012374311219900846,0.941516262849825
211,pi+,delta_p,56999,0.07197592407464981,-0.6303561925888062,1.6139925718307495,-6.964460000991822,-4.89696192741394,-0.009335100650787354,0.06774264872074126,0.3129157483577727,-0.6918803453445435,1.6502101421356201,-6.81857515335083,-4.999994230270386,-0.020748645067214966,0.07249106168746935,0.37999053239822195,0.061524152755737305,1.0224397379126653
211,pi+,delta_theta,56999,0.00373316602781415,0.004212051630020142,0.09371335804462433,-0.38455782234668734,-0.04344699084758758,7.542409002780914e-05,0.13253460377454726,0.33428213119506706,0.006816644687205553,0.09390265494585037,-0.38415391206741334,-0.04341762848198412,-3.5365112125873566e-05,0.15914018154144285,0.31141058444976755,0.0026045930571854115,1.0020199564413848
211,pi+,delta_phi,56999,0.01888246275484562,0.004469902254641056,0.3598316013813019,-1.251046164035797,-0.30720860660076144,-0.0006193146109580994,0.3523247718811035,1.4114293193817107,0.004400996025651693,0.3794395327568054,-1.4350013995170594,-0.39318251609802246,-0.0006868839263916016,0.4273527383804313,1.4769822788238522,6.890622898936272e-05,1.0544919659647283
2212,proton,delta_p,56005,0.027426933869719505,-0.41766101121902466,1.166998267173767,-5.201199626922607,-3.55133376121521,-0.009348273277282715,0.044214028120040744,0.197641714811325,-0.43137460947036743,1.1841328144073486,-5.217101802825928,-3.565606212615967,-0.018376559019088745,0.04537287354469298,0.2972661292552946,0.013713598251342773,1.014682581556079
2212,proton,delta_theta,56005,0.0022376501001417637,0.006012449506670237,0.08438986539840698,-0.3352921271324158,-0.02305933125317096,9.717117063701153e-05,0.12407410293817472,0.3265110719203948,0.007145903538912535,0.08456309884786606,-0.3232969617843628,-0.030324757844209665,0.0001732968958094716,0.1458491653203964,0.3157234930992126,0.0011334540322422981,1.0020527755156527
2212,proton,delta_phi,56005,0.017991285771131516,0.0007072631269693375,0.31201499700546265,-1.1664234352111817,-0.2261753171682357,-0.0007715974934399128,0.27308465242385804,1.079942555427551,0.0038537702057510614,0.33845755457878113,-1.2868280553817748,-0.30038714408874506,-0.0008571147918701172,0.3787662506103513,1.3356547641754133,0.003146507078781724,1.0847477134980648
