generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,n,coatjava_fraction,no_beta_mean_probability,no_beta_sd_across_seeds,joint_beta_mean_probability,joint_beta_sd_across_seeds,mean_paired_improvement,median_paired_improvement,paired_improvement_sd,paired_improvement_ci95_low,paired_improvement_ci95_high,exact_two_sided_sign_flip_p,paired_cohen_dz,joint_beta_better_pairs,no_beta_better_pairs,tied_pairs
-211,pi-,0,0.0,1.0,1551,0.5235332043842682,0.5948670092174615,0.035579738744336876,0.6040404512127995,0.0485893909576229,-0.010901969727615823,-0.021027988225412353,0.06879204682812243,-0.06011283550072595,0.0383088960454943,0.623046875,-0.15847718203318614,2,8,0
-211,pi-,1,1.0,2.0,5686,0.7256419275413296,0.6831554405184151,0.009993460016078001,0.6739363688331877,0.035026115674063836,-0.009219071685227398,-0.0008981974352035849,0.03337868656400128,-0.033096745630412046,0.01465860225995725,0.412109375,-0.27619635864192793,5,5,0
-211,pi-,2,2.0,3.0,6562,0.6892715635476989,0.64860667081391,0.014832144911292245,0.6295265138882401,0.048832317657315244,-0.019080156925669813,-0.009737314885201243,0.05058646268342282,-0.05526753235396841,0.017107218502628786,0.3125,-0.3771791090647336,3,7,0
-211,pi-,3,3.0,4.0,6996,0.6173527730131504,0.6014489668116701,0.020230042495048516,0.5768239542728774,0.05447729597225185,-0.024086583060041966,-0.0055841588258538355,0.053491339555616337,-0.062351982219806104,0.014178816099722172,0.234375,-0.4502893975014127,4,6,0
-211,pi-,4,4.0,5.0,7120,0.5268258426966292,0.539010557021832,0.020795602647355235,0.5136712042136807,0.05722992498944477,-0.017562468740353505,-1.0328660369707254e-05,0.05152679317976417,-0.0544225160830877,0.01929757860238069,0.392578125,-0.3408414856923546,5,5,0
-211,pi-,5,5.0,6.0,6370,0.4574568288854003,0.4739661222504073,0.02183956636005572,0.45457612082306753,0.05913311518534475,-0.019291692245574803,-0.0024668578111640693,0.0487695458155108,-0.054179323644870825,0.01559593915372122,0.25390625,-0.3955684212962102,4,6,0
-211,pi-,6,6.0,7.0,6084,0.4368836291913215,0.42853804968622694,0.023696707238176264,0.4173184557219999,0.05945536021923488,-0.02042636840321311,-0.01203096840208942,0.04702519708420952,-0.05406616789118315,0.013213431084756935,0.208984375,-0.4343707133568193,2,8,0
-211,pi-,7,7.0,8.0,4235,0.40944510035419124,0.3793602066215264,0.0282341886567839,0.3756567662649534,0.05882442431200196,-0.00870428579128232,-0.0018535072549653864,0.04950573148645665,-0.04411855269435279,0.026709981111788145,0.60546875,-0.17582379918300092,4,6,0
-211,pi-,8,8.0,9.0,1213,0.29760923330585326,0.28964666106837195,0.03148335975898006,0.2881391266858787,0.050269060898087074,-0.006386686999831412,0.003149775366866253,0.03840104640297373,-0.03385714074000386,0.021083766740341032,0.642578125,-0.1663154418452731,6,4,0
211,pi+,0,0.0,1.0,3116,0.9537869062901155,0.8601115682512637,0.14319203319126203,0.8999361600372964,0.029334761748679845,0.03982459178603277,-0.011362386029333205,0.16090387488591001,-0.0752791063081316,0.15492828988019713,0.892578125,0.24750548620579008,4,6,0
211,pi+,1,1.0,2.0,7417,0.8627477416745315,0.8000982777501704,0.14761239891038622,0.8356754334332834,0.028971026875017656,0.03301815176933896,-0.00789511448217639,0.15548455913361917,-0.0782088013758866,0.14424510491456452,0.9609375,0.21235646776323344,3,7,0
211,pi+,2,2.0,3.0,7822,0.7730759396573766,0.7043643829232971,0.13396874530434388,0.7317805785847705,0.0358974530825715,0.027416195661473436,-0.005115884537893134,0.14735174800901496,-0.07799289488095859,0.13282528620390546,0.927734375,0.18605952105702958,3,7,0
211,pi+,3,3.0,4.0,8115,0.6455945779420825,0.6036676943430692,0.10513713873534372,0.621242805551267,0.04167407641381695,0.015915761075946028,-0.00835977053098741,0.11683226165362402,-0.0676610041360318,0.09949252628792385,0.96875,0.13622744994128372,3,7,0
211,pi+,4,4.0,5.0,8150,0.5299386503067485,0.5102050890487396,0.07407054000158776,0.5204308090370856,0.043816684142295934,0.010428384332934765,-0.006121119327523239,0.08461655455869228,-0.05010265232853836,0.0709594209944079,0.7890625,0.12324283808674061,4,6,0
211,pi+,5,5.0,6.0,7664,0.42667014613778703,0.43149731371120115,0.048980333948225166,0.4401110174078961,0.04410804179778652,-0.0021548712028225505,-0.007486886292353806,0.05191855214047718,-0.0392951660235716,0.034985423617926496,0.822265625,-0.04150484006164247,4,6,0
211,pi+,6,6.0,7.0,7303,0.39189374229768587,0.3747063875681943,0.03713907996888801,0.38661186247390705,0.045363101959654484,0.0032065939578016732,-3.095106969677741e-05,0.05070850717244579,-0.03306808683855296,0.039481274754156304,0.951171875,0.06323581853626499,5,5,0
211,pi+,7,7.0,8.0,5471,0.3460062145859989,0.32677320788403874,0.036191264424657726,0.3417723201344641,0.04334652785251753,0.0005513725676673326,-0.005776955419104446,0.042204292947045974,-0.02963975985284744,0.030742504988182102,0.98828125,0.013064371635348652,3,7,0
211,pi+,8,8.0,9.0,1716,0.31002331002331,0.28091958216141844,0.044423585138205324,0.29308792466432343,0.04776992538126954,0.0034631958296457376,0.004380756941361308,0.032286796342747684,-0.01963338690522307,0.026559778564514542,0.740234375,0.10726353252522827,6,4,0
