seed,no_beta_best_epoch,joint_beta_best_epoch,no_beta_macro_weighted_bin_tv,joint_beta_macro_weighted_bin_tv,joint_beta_improvement_macro_weighted_bin_tv,no_beta_macro_correct_id_mae,joint_beta_macro_correct_id_mae,joint_beta_improvement_macro_correct_id_mae,no_beta_worst_bin_tv,joint_beta_worst_bin_tv,joint_beta_improvement_worst_bin_tv,no_beta_test_pid_cross_entropy,joint_beta_test_pid_cross_entropy,joint_beta_improvement_test_pid_cross_entropy,no_beta_test_pid_accuracy,joint_beta_test_pid_accuracy,joint_beta_improvement_test_pid_accuracy,no_beta_weighted_bin_tv_pi_minus,joint_beta_weighted_bin_tv_pi_minus,joint_beta_improvement_weighted_bin_tv_pi_minus,no_beta_weighted_bin_tv_pi_plus,joint_beta_weighted_bin_tv_pi_plus,joint_beta_improvement_weighted_bin_tv_pi_plus,no_beta_weighted_bin_tv_proton,joint_beta_weighted_bin_tv_proton,joint_beta_improvement_weighted_bin_tv_proton,no_beta_correct_id_abs_error_pi_minus,joint_beta_correct_id_abs_error_pi_minus,joint_beta_improvement_correct_id_abs_error_pi_minus,no_beta_correct_id_abs_error_pi_plus,joint_beta_correct_id_abs_error_pi_plus,joint_beta_improvement_correct_id_abs_error_pi_plus,no_beta_correct_id_abs_error_proton,joint_beta_correct_id_abs_error_proton,joint_beta_improvement_correct_id_abs_error_proton
20260822,15,12,0.0378680657073921,0.0382780084448569,-0.00040994273746479404,0.0030579403909977154,0.0027073875951147963,0.0003505527958829191,0.11527544430798956,0.13287833696072787,-0.017602892652738317,1.0118578107157452,1.016982050174204,-0.005124239458458746,0.6755025807347207,0.6751555381683725,-0.0003470425663482102,0.04242014696942615,0.03903606134482972,0.003384085624596432,0.04361707659828838,0.05114235666298389,-0.007525280064695508,0.02756697355446177,0.024655607326757086,0.0029113662277046835,0.0024122918508401314,0.005087462578023394,-0.0026751707271832625,0.006556166970776434,0.002705647313641424,0.0038505196571350098,0.0002053623513765812,0.00032905289367957113,-0.00012369054230298993
20260823,17,14,0.07822265813079911,0.0385299461114425,0.03969271201935661,0.026952924261321825,0.003406670934161619,0.023546253327160205,0.18506803582127318,0.09536839315497651,0.08969964266629667,1.0649456582859382,1.0165485310092055,0.04839712727673273,0.6746381292512714,0.6758622430307543,0.0012241137794828383,0.11058178480331436,0.039703231520679776,0.0708785532826346,0.09649716144377665,0.04816070860623806,0.04833645283753859,0.027589028145306317,0.027725898207409644,-0.0001368700621033267,0.04065552106877657,0.0026882017515054146,0.03796731931727115,0.03460962947611701,0.005298687779950018,0.029310941696166992,0.005593622239071894,0.0022331232710294247,0.003360498968042469
20260824,22,11,0.05426869855063305,0.17955185889355887,-0.12528316034292583,0.01736833843571961,0.08796066237472515,-0.07059232393900554,0.13987479179792942,0.38596471208058825,-0.24608992028265883,1.0422933106280048,1.1960869676838948,-0.15379365705589,0.6757297358690577,0.6710036471018791,-0.004726088767178616,0.0742458352497553,0.2701088973616119,-0.1958630621118566,0.06501282369112459,0.2301541682503824,-0.16514134455925783,0.023547436711019287,0.0383925110686823,-0.014845074357663014,0.02420446029683443,0.1419440185167441,-0.11773955821990967,0.02541167911295783,0.11983956273798835,-0.09442788362503052,0.0024888758973665714,0.0020984058694429875,0.000390470027923584
20260825,17,10,0.05064070229855764,0.10059638708420754,-0.0499556847856499,0.01726462087304037,0.056650177229183606,-0.039385556356143235,0.11366307370613599,0.18462595040345356,-0.07096287669731757,1.0306020614766616,1.0954472161610864,-0.06484515468442487,0.6759001022198105,0.6751302987090017,-0.0007698035108087975,0.0608884736108574,0.1425730620579307,-0.0816845884470733,0.03982873600583115,0.04532490702019207,-0.005496171014360916,0.05120489727898437,0.11389119217449985,-0.06268629489551547,0.019441095504964312,0.0764830683805594,-0.05704197287559509,0.004643426573229914,0.01013298209910285,-0.005489555525872936,0.027709340540926886,0.08333448120788856,-0.05562514066696167
20260826,15,27,0.25484321894146245,0.024563316624770196,0.23027990231669226,0.2031281463764122,0.003246657802461509,0.1998814885739507,0.5143778493229474,0.08988670439357477,0.4244911449293726,1.2918135647900653,0.9958916188912621,0.29592194589880316,0.5227533726227584,0.6769159904594844,0.1541626178367259,0.05641850724950278,0.0273862121097614,0.029032295139741378,0.35058513207126885,0.029477999780489116,0.32110713229077975,0.35752601750361573,0.016825737984060073,0.34070027951955567,9.146579722074666e-05,0.006613281879628619,-0.006521816082407872,0.2727046149611939,0.0020638567566405586,0.27064075820455336,0.3365883583708219,0.0010628347711153507,0.33552552359970655
20260827,16,12,0.04094518642751183,0.043114674956678256,-0.002169488529166423,0.0025384171915673326,0.0065531551140846815,-0.004014737922517349,0.11850116961562676,0.16152447893400781,-0.04302330931838105,1.0125494799854835,1.0294441293486754,-0.01689464936319185,0.675950581138552,0.674461453035676,-0.0014891281028760472,0.03585458120084821,0.04680376775256481,-0.010949186551716603,0.05486791070287687,0.05362781780758674,0.001240092895290125,0.03211306737881042,0.028912439309883207,0.003200628068927215,0.00011644014338163533,0.005144444618428667,-0.005028004475047032,0.00423382345433343,0.010603501164959783,-0.006369677710626354,0.0032649879769869328,0.003911519558865595,-0.0006465315818786621
20260828,18,17,0.05818258725333433,0.06931046144128855,-0.011127874187954225,0.017728970039623666,0.0256914750623084,-0.007962505022684734,0.1745074877433187,0.15416659649699577,0.020340891246322934,1.0355780446949565,1.0545070631932418,-0.01892901849828532,0.6750924395199455,0.6750861296551028,-6.30986484262408e-06,0.07656968825733668,0.09164502523849136,-0.01507533698115468,0.036938723467357056,0.046120736367027085,-0.00918201289967003,0.06103935003530926,0.07016562271834721,-0.00912627268303795,0.02531292787572237,0.0361405288316855,-0.010827600955963135,0.0010466116309632012,0.008031679952191229,-0.006985068321228027,0.02682737061218543,0.03290221640304847,-0.006074845790863037
20260829,19,10,0.038653671799921546,0.04587096120644365,-0.0072172894065221024,0.005283039738565883,0.005115472860429275,0.00016756687813660777,0.08903630914619366,0.1447189611072994,-0.055682651961105736,1.0162429551718035,1.0293308617548447,-0.013087906583041153,0.6757739049229565,0.6743100162794513,-0.0014638886435052179,0.03901896608474285,0.04946179469209325,-0.0104428286073504,0.046706952769015306,0.04622134209089898,0.0004856106781163244,0.030235096546006483,0.04192974683633871,-0.011694650290332228,0.0028403674699911674,0.007899197425638715,-0.005058829955647548,0.012651874387310857,0.004517688119458074,0.008134186267852783,0.0003568773583956242,0.0029295330361910343,-0.00257265567779541
20260830,9,11,0.04272920165548747,0.04994200800193857,-0.007212806346451099,0.004761598437855841,0.0038834468411780287,0.000878151596677812,0.1284000377634913,0.15881343246578164,-0.030413394702290347,1.0284333799423946,1.040110153476807,-0.011676773534412321,0.6749283830340355,0.6742910866849232,-0.0006372963491122485,0.050459452970313595,0.05997548361443861,-0.009516030644125012,0.042007403650759965,0.05497130298212422,-0.012963899331364256,0.03572074834538885,0.034879237409252896,0.0008415109361359571,0.0016625200845846733,0.0027862464525351127,-0.0011237263679504395,0.011583759152935857,0.006881250703381414,0.004702508449554443,0.0010385160760469914,0.0019828433676175594,-0.000944327291570568
20260831,14,12,0.03577504597508,0.04756505637285991,-0.01179001039777991,0.0033634141954715924,0.003238640159199835,0.00012477403627175754,0.09402686898172465,0.11131013530383652,-0.01728326632211187,1.015705919332241,1.030238699806815,-0.014532780474573848,0.6751555381683725,0.6751744677629005,1.8929594527983262e-05,0.042515258890036316,0.04744066627279141,-0.004925407382755091,0.04053539433439884,0.057177208236022965,-0.016641813901624128,0.024274484700804864,0.038077294609765354,-0.01380280990896049,0.0012824262044778267,0.004922715339864214,-0.0036402891353863875,0.0034174459815491387,0.0021751659751404473,0.0012422800064086914,0.005390370400387812,0.002618039162594843,0.0027723312377929688
