seed,variant,best_epoch,selected_validation_pid_cross_entropy,selected_validation_pid_accuracy,best_validation_pid_epoch,best_validation_pid_cross_entropy,best_validation_pid_accuracy,target_dim,parameter_count,test_rows,test_pid_cross_entropy,test_pid_accuracy,worst_bin_tv,dataset_metadata_sha256,selection_sha256,data_split_seed,data_order_seed,weighted_bin_tv_pi_minus,correct_id_teacher_pi_minus,correct_id_probability_pi_minus,correct_id_abs_error_pi_minus,weighted_bin_tv_pi_plus,correct_id_teacher_pi_plus,correct_id_probability_pi_plus,correct_id_abs_error_pi_plus,weighted_bin_tv_proton,correct_id_teacher_proton,correct_id_probability_proton,correct_id_abs_error_proton,macro_weighted_bin_tv,macro_correct_id_mae,checkpoint_sha256
20260822,no_beta,15,1.0101884587193322,0.6762723798028566,20,1.001609662221342,0.6770644739489037,3,222324,158482,1.0118578107157452,0.6755025807347207,0.11527544430798956,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.04242014696942615,0.5499705349542746,0.5523828268051147,0.0024122918508401314,0.04361707659828838,0.5906400817275513,0.5840839147567749,0.006556166970776434,0.02756697355446177,0.8142992610617094,0.8145046234130859,0.0002053623513765812,0.0378680657073921,0.0030579403909977154,aa481d97c40117dc04971ec5d491a52967bf25daa37bd536e36330a78668d6d9
20260822,joint_beta,12,1.016142773906414,0.6758260410380205,17,1.004186156793179,0.6767061456447395,4,226436,158482,1.016982050174204,0.6751555381683725,0.13287833696072787,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.03903606134482972,0.5499705349542746,0.5448830723762512,0.005087462578023394,0.05114235666298389,0.5906400817275513,0.5879344344139099,0.002705647313641424,0.024655607326757086,0.8142992610617094,0.8139702081680298,0.00032905289367957113,0.0382780084448569,0.0027073875951147963,7c56ec534a28be8970a4c22ff0f3fce93ec668efa831d36d31f475469ecc6b77
20260823,no_beta,17,1.0639793744894896,0.6753671293502314,22,1.023460564947157,0.6769450311808489,3,222324,158482,1.0649456582859382,0.6746381292512714,0.18506803582127318,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.11058178480331436,0.5499705349542746,0.509315013885498,0.04065552106877657,0.09649716144377665,0.5906400817275513,0.5560304522514343,0.03460962947611701,0.027589028145306317,0.8142992610617094,0.8198928833007812,0.005593622239071894,0.07822265813079911,0.026952924261321825,6ece4e07b29409b4cc2746338a6a3f17fdd3c890c3c40e45bc52179543a771cc
20260823,joint_beta,14,1.0154811586203698,0.6769073124119895,19,1.0051059844843508,0.6772530677932006,4,226436,158482,1.0165485310092055,0.6758622430307543,0.09536839315497651,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.039703231520679776,0.5499705349542746,0.55265873670578,0.0026882017515054146,0.04816070860623806,0.5906400817275513,0.5853413939476013,0.005298687779950018,0.027725898207409644,0.8142992610617094,0.8120661377906799,0.0022331232710294247,0.0385299461114425,0.003406670934161619,709fbecc1eb8d6408d2de956b8bf6894ba83eb6f50bbcd9ba5c567547501e21f
20260824,no_beta,22,1.0413295511052154,0.6767187185676926,27,1.0202500551573301,0.6776554013277006,3,222324,158482,1.0422933106280048,0.6757297358690577,0.13987479179792942,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.0742458352497553,0.5499705349542746,0.5257660746574402,0.02420446029683443,0.06501282369112459,0.5906400817275513,0.5652284026145935,0.02541167911295783,0.023547436711019287,0.8142992610617094,0.8167881369590759,0.0024888758973665714,0.05426869855063305,0.01736833843571961,35aa915e2c6b650d83f3c364873b2d621c40b61a4a862cba009725c24b87039d
20260824,joint_beta,11,1.1947010114168501,0.6716581170790585,16,1.0972353673945296,0.6742921444377389,4,226436,158482,1.1960869676838948,0.6710036471018791,0.38596471208058825,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.2701088973616119,0.5499705349542746,0.4080265164375305,0.1419440185167441,0.2301541682503824,0.5906400817275513,0.470800518989563,0.11983956273798835,0.0383925110686823,0.8142992610617094,0.8163976669311523,0.0020984058694429875,0.17955185889355887,0.08796066237472515,d68de0775ad222fc6834ec0079539e7fe4601a6ea31717b608e9c758c5887e7e
20260825,no_beta,17,1.0294821048809282,0.6768130154898411,22,1.0162441178937478,0.6772216354858177,3,222324,158482,1.0306020614766616,0.6759001022198105,0.11366307370613599,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.0608884736108574,0.5499705349542746,0.5305294394493103,0.019441095504964312,0.03982873600583115,0.5906400817275513,0.5952835083007812,0.004643426573229914,0.05120489727898437,0.8142992610617094,0.7865899205207825,0.027709340540926886,0.05064070229855764,0.01726462087304037,7bd18fe570de1e76da5343b5ff58f1e02ad6d22d007ffef293f4e7032b828713
20260825,joint_beta,10,1.0934499259854533,0.676020921343794,15,1.0340103179342286,0.6769450311808489,4,226436,158482,1.0954472161610864,0.6751302987090017,0.18462595040345356,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.1425730620579307,0.5499705349542746,0.4734874665737152,0.0764830683805594,0.04532490702019207,0.5906400817275513,0.5805070996284485,0.01013298209910285,0.11389119217449985,0.8142992610617094,0.7309647798538208,0.08333448120788856,0.10059638708420754,0.056650177229183606,38d10fc730e507538d38893cd5d4978141378c7c2b0f46d890b5a10f93ba6335
20260826,no_beta,15,1.291008818008079,0.5234925065379199,20,1.1490940817571267,0.6753545564272783,3,222324,158482,1.2918135647900653,0.5227533726227584,0.5143778493229474,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.05641850724950278,0.5499705349542746,0.5500620007514954,9.146579722074666e-05,0.35058513207126885,0.5906400817275513,0.3179354667663574,0.2727046149611939,0.35752601750361573,0.8142992610617094,0.47771090269088745,0.3365883583708219,0.25484321894146245,0.2031281463764122,36869eb52d194ab6aec0259f4b1e6ffd0c5d97083669fab3584d193fab99ec11
20260826,joint_beta,27,0.9948370507295355,0.6776868336350835,29,0.9936086271063851,0.6778502816334742,4,226436,158482,0.9958916188912621,0.6769159904594844,0.08988670439357477,6a7245cb0ec4125610b9dcd8c1635d70a7773eeb2b29d146dd80d5f149eb43ab,d00eb9c9a0a004d9eeca03cd96746cd22eb2a13b8337cd83507e9c4794a0906d,20260822,20260822,0.0273862121097614,0.5499705349542746,0.543357253074646,0.006613281879628619,0.029477999780489116,0.5906400817275513,0.5927039384841919,0.0020638567566405586,0.016825737984060073,0.8142992610617094,0.8153620958328247,0.0010628347711153507,0.024563316624770196,0.003246657802461509,afed3cb181ae22602627738a23772d83501d5ef16606683237be8f6bf8713937
