variable,bin_index,low,high,upper_edge_inclusive,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_data,absolute_difference,observed_standard_error,fm_mean_standard_error
gen_theta,1,5.0,10.0,False,128379,0.09538943320512772,0.09422744810581207,-0.0011619850993156433,0.0011619850993156433,0.0008198491828304433,0.0006991058728697038
gen_theta,2,10.0,15.0,False,133957,0.4711586534976959,0.47045716643333435,-0.0007014870643615723,0.0007014870643615723,0.0013638404931198445,0.001161833664624684
gen_theta,3,15.0,20.0,False,104060,0.6826830506324768,0.6786437034606934,-0.004039347171783447,0.004039347171783447,0.0014428270793452375,0.001134219271517352
gen_theta,4,20.0,25.0,False,74592,0.742559552192688,0.7372691631317139,-0.005290389060974121,0.005290389060974121,0.0016008767960031698,0.0011505402089079012
gen_theta,5,25.0,30.0,False,44381,0.7653500437736511,0.7644695043563843,-0.0008805394172668457,0.0008805394172668457,0.0020116005822449034,0.0012657064238053982
gen_theta,6,30.0,35.0,False,15069,0.7731103301048279,0.7693455219268799,-0.003764808177947998,0.003764808177947998,0.0034118182136698124,0.0018756132258345283
