generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1519,-2212,2,0.0013166556945358788,0.0009304030543411126,0.0037297749297035485,5.9963789326846325e-05,0.0024131192351676697,0.0024131192351676697
-211,pi-,0,0.0,1.0,False,1519,-321,13,0.008558262014483212,0.0023634558898155463,0.005432534314679887,8.68326681709924e-05,-0.0031257276998033247,0.0031257276998033247
-211,pi-,0,0.0,1.0,False,1519,-211,812,0.5345622119815668,0.012798263889806098,0.5589538385157673,0.007397105481210649,0.02439162653420046,0.02439162653420046
-211,pi-,0,0.0,1.0,False,1519,-11,0,0.0,0.0,0.00014231681409532384,2.6121756222756567e-06,0.00014231681409532384,0.00014231681409532384
-211,pi-,0,0.0,1.0,False,1519,11,2,0.0013166556945358788,0.0009304030543411126,0.0008919284191934131,1.31692813278084e-05,-0.0004247272753424657,0.0004247272753424657
-211,pi-,0,0.0,1.0,False,1519,22,156,0.10269914417379855,0.007788854055943316,0.09494145354317346,0.00187691412281266,-0.0077576906306250915,0.0077576906306250915
-211,pi-,0,0.0,1.0,False,1519,45,1,0.0006583278472679394,0.0006581111138144056,0.00046373471811516124,1.8697199970247437e-05,-0.00019459312915277817,0.00019459312915277817
-211,pi-,0,0.0,1.0,False,1519,211,1,0.0006583278472679394,0.0006581111138144056,0.05697767094017965,0.0010403578611096044,0.056319343092911714,0.056319343092911714
-211,pi-,0,0.0,1.0,False,1519,321,1,0.0006583278472679394,0.0006581111138144056,0.0010306077965916416,1.9821892747456498e-05,0.0003722799493237022,0.0003722799493237022
-211,pi-,0,0.0,1.0,False,1519,2112,508,0.3344305464121132,0.012105166662762278,0.24637710394545007,0.006673327296263251,-0.08805344246666316,0.08805344246666316
-211,pi-,0,0.0,1.0,False,1519,2212,23,0.015141540487162607,0.0031332356115561302,0.030971133085755345,0.0018396938797436537,0.015829592598592738,0.015829592598592738
-211,pi-,0,0.0,1.0,False,1519,OTHER,0,0.0,0.0,8.790268051126882e-05,1.0525022773449024e-05,8.790268051126882e-05,8.790268051126882e-05
-211,pi-,1,1.0,2.0,False,5776,-2212,60,0.01038781163434903,0.001334077189161475,0.012833226372089161,9.622412704110313e-05,0.002445414737740131,0.002445414737740131
-211,pi-,1,1.0,2.0,False,5776,-321,116,0.02008310249307479,0.0018458501167817425,0.021181224050563444,0.0001686471463550655,0.001098121557488653,0.001098121557488653
-211,pi-,1,1.0,2.0,False,5776,-211,4099,0.7096606648199446,0.005972617653848969,0.6395006042324803,0.0034674424194316997,-0.07016006058746427,0.07016006058746427
-211,pi-,1,1.0,2.0,False,5776,-11,0,0.0,0.0,0.0008140417582566099,7.577117918773766e-06,0.0008140417582566099,0.0008140417582566099
-211,pi-,1,1.0,2.0,False,5776,11,11,0.001904432132963989,0.0005736608625160331,0.0024156978657814943,1.6158745917070305e-05,0.0005112657328175054,0.0005112657328175054
-211,pi-,1,1.0,2.0,False,5776,22,604,0.10457063711911357,0.004026307597420636,0.07898654438986719,0.001097913848397388,-0.025584092729246388,0.025584092729246388
-211,pi-,1,1.0,2.0,False,5776,45,2,0.00034626038781163435,0.00024480067487989664,0.0010250223331252687,9.609255890578808e-06,0.0006787619453136344,0.0006787619453136344
-211,pi-,1,1.0,2.0,False,5776,211,15,0.0025969529085872575,0.0006696591238354423,0.05213662121372509,0.0004287563952034344,0.04953966830513783,0.04953966830513783
-211,pi-,1,1.0,2.0,False,5776,321,2,0.00034626038781163435,0.00024480067487989664,0.004525228982914025,3.9223713012037054e-05,0.004178968595102391,0.004178968595102391
-211,pi-,1,1.0,2.0,False,5776,2112,798,0.13815789473684212,0.004540337272141051,0.1576766793340718,0.0029999262352727618,0.019518784597229694,0.019518784597229694
-211,pi-,1,1.0,2.0,False,5776,2212,69,0.011945983379501385,0.0014295116689273255,0.028813792574366157,0.0006984361579019139,0.01686780919486477,0.01686780919486477
-211,pi-,1,1.0,2.0,False,5776,OTHER,0,0.0,0.0,9.131659368651045e-05,3.109373697451439e-06,9.131659368651045e-05,9.131659368651045e-05
-211,pi-,2,2.0,3.0,False,6624,-2212,250,0.03774154589371981,0.0023415074732903683,0.029325755368066978,0.00015765338930565583,-0.00841579052565283,0.00841579052565283
-211,pi-,2,2.0,3.0,False,6624,-321,335,0.050573671497584544,0.0026923574305695516,0.05655140902203051,0.0003181640377366732,0.00597773752444597,0.00597773752444597
-211,pi-,2,2.0,3.0,False,6624,-211,4598,0.6941425120772947,0.005661398406304135,0.6145328761063094,0.0026969348010937406,-0.07960963597098536,0.07960963597098536
-211,pi-,2,2.0,3.0,False,6624,-11,0,0.0,0.0,0.0028323710270631687,1.7707331747671812e-05,0.0028323710270631687,0.0028323710270631687
-211,pi-,2,2.0,3.0,False,6624,11,7,0.0010567632850241545,0.0003992078766781398,0.004936813684021371,2.355844287310162e-05,0.0038800503989972162,0.0038800503989972162
-211,pi-,2,2.0,3.0,False,6624,22,502,0.07578502415458938,0.003251756638523742,0.0812663583540198,0.0011194500318963193,0.005481334199430421,0.005481334199430421
-211,pi-,2,2.0,3.0,False,6624,45,1,0.00015096618357487922,0.00015095478775047538,0.0020497788635581034,1.2145294522976789e-05,0.0018988126799832242,0.0018988126799832242
-211,pi-,2,2.0,3.0,False,6624,211,33,0.004981884057971014,0.0008650717704654057,0.04402868765157001,0.0003302429870828928,0.039046803593598994,0.039046803593598994
-211,pi-,2,2.0,3.0,False,6624,321,1,0.00015096618357487922,0.00015095478775047538,0.01207603412819574,7.21762792707245e-05,0.01192506794462086,0.01192506794462086
-211,pi-,2,2.0,3.0,False,6624,2112,791,0.11941425120772947,0.003984315714321204,0.12167944136505343,0.002323783751185523,0.0022651901573239597,0.0022651901573239597
