generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45448,0.5507833127970427,0.5179261565208435
211,pi+,56726,0.5862391143391038,0.5660445690155029
2212,proton,56274,0.8167537406262217,0.811729907989502
