group,run_dir,test_residual_nll,test_pid_cross_entropy,test_joint_nll,test_pid_accuracy,pid_weighted_mean_tv,pid_max_bin_tv,moment_closure_error,physical_sample_fraction
baseline,runs/optuna_baseline_repro,-4.530444802664157,1.0293704785408229,-3.5010743241233335,0.6750133660408215,0.044227750315635875,0.16402471089477066,0.05613896227500818,0.96104663962009
baseline,runs/seed_baseline_20260823,-4.679194495351245,1.0577520410135564,-3.621442454337689,0.6755844188629708,0.06727347704110703,0.17203421692074278,0.03260668178496835,0.9865255478137938
baseline,runs/seed_baseline_20260824,-4.706893281687489,1.018265992536074,-3.688627289151415,0.6755071672097798,0.0369653294860726,0.06764643784658518,0.035969274126078914,0.9829845479603433
tuned,runs/optuna_best,-5.336459390170155,0.9805853221402752,-4.35587406802988,0.679284209202126,0.010005758016922337,0.05039025481139084,0.031515307469439015,0.9907978740132717
tuned,runs/seed_tuned_20260823,-5.37637629095357,0.9792033204776668,-4.3971729704759035,0.6796551550035342,0.010517671070802802,0.028661332798197204,0.017034363943859012,0.990974957083712
tuned,runs/seed_tuned_20260824,-5.292126218333427,0.9853049792746084,-4.306821239058818,0.6785272529777041,0.011045917513467046,0.029149138371877836,0.023549384176417033,0.9916304068011578
