run,generated_species,p_center_gev,n,coatjava_fraction,fm_mean_probability,absolute_difference
tuned,pi-,2.5,6579,0.6893144854841161,0.6934325325616406,0.0041180470775245
tuned,pi-,3.5,7020,0.6175213675213675,0.621538611968522,0.0040172444471544555
tuned,pi-,4.5,7152,0.5274049217002237,0.5317177886433926,0.004312866943168903
tuned,pi-,5.5,6396,0.45762976860537835,0.45877663570802324,0.0011468671026448884
tuned,pi-,6.5,6107,0.43703946291141316,0.4370045468113154,3.491610009775936e-05
tuned,pi-,7.5,4253,0.41100399717846225,0.40737690806080423,0.0036270891176580222
tuned,pi-,8.5,1220,0.2983606557377049,0.3292030887104777,0.030842432972772782
tuned,pi+,0.5,3118,0.9538165490699166,0.9564559629170261,0.0026394138471094175
tuned,pi+,1.5,7438,0.8628663619252487,0.8626096242776832,0.0002567376475655081
tuned,pi+,2.5,7854,0.7736185383244206,0.7633158791566474,0.010302659167773176
tuned,pi+,3.5,8147,0.6463728979992636,0.6448686297878219,0.0015042682114416728
tuned,pi+,4.5,8181,0.5306197286395307,0.5316936001983034,0.0010738715587726988
tuned,pi+,5.5,7698,0.4271239282930631,0.42589377855872856,0.0012301497343345513
tuned,pi+,6.5,7337,0.39334878015537683,0.38418587054704406,0.00916290960833277
tuned,pi+,7.5,5501,0.3464824577349573,0.348883656936924,0.0024011992019667416
tuned,pi+,8.5,1725,0.31130434782608696,0.29209511469239774,0.01920923313368922
tuned,proton,0.5,3730,0.9890080428954423,0.9901081529123853,0.00110011001694299
tuned,proton,1.5,9202,0.9271897413605737,0.9300467056120849,0.0028569642515111626
tuned,proton,2.5,10040,0.8600597609561753,0.8676725790809944,0.007612818124819065
tuned,proton,3.5,10258,0.8197504386820043,0.8222099820427563,0.002459543360752048
tuned,proton,4.5,10333,0.7682183296235362,0.7691841177893991,0.000965788165862902
tuned,proton,5.5,9225,0.688780487804878,0.7068420399244885,0.01806155211961047
tuned,proton,6.5,3217,0.6077090456947467,0.6115438335192733,0.00383478782452662
tuned+lambda2,pi-,0.5,1554,0.5225225225225225,0.5279096271876897,0.0053871046651672305
tuned+lambda2,pi-,1.5,5700,0.7256140350877193,0.727959192726708,0.002345157638988682
tuned+lambda2,pi-,2.5,6579,0.6893144854841161,0.6972113792475301,0.007896893763413959
tuned+lambda2,pi-,3.5,7020,0.6175213675213675,0.6194409530484061,0.0019195855270385254
tuned+lambda2,pi-,4.5,7152,0.5274049217002237,0.5347761575789105,0.0073712358786868215
tuned+lambda2,pi-,5.5,6396,0.45762976860537835,0.45753980586705506,8.996273832329038e-05
tuned+lambda2,pi-,6.5,6107,0.43703946291141316,0.4417853085776905,0.004745845666277337
tuned+lambda2,pi-,7.5,4253,0.41100399717846225,0.41001243953298655,0.0009915576454757047
tuned+lambda2,pi-,8.5,1220,0.2983606557377049,0.3151228286611483,0.016762172923443397
tuned+lambda2,pi+,0.5,3118,0.9538165490699166,0.9582176115526624,0.004401062482745743
tuned+lambda2,pi+,1.5,7438,0.8628663619252487,0.8634904058663033,0.0006240439410546417
tuned+lambda2,pi+,2.5,7854,0.7736185383244206,0.7677139693596985,0.0059045689647221344
tuned+lambda2,pi+,3.5,8147,0.6463728979992636,0.6422092009902929,0.004163697008970679
tuned+lambda2,pi+,4.5,8181,0.5306197286395307,0.5323664222525991,0.0017466936130684507
tuned+lambda2,pi+,5.5,7698,0.4271239282930631,0.42301277083105937,0.004111157462003745
tuned+lambda2,pi+,6.5,7337,0.39334878015537683,0.3852941013687108,0.008054678786666047
tuned+lambda2,pi+,7.5,5501,0.3464824577349573,0.34364469276022125,0.0028377649747360345
tuned+lambda2,pi+,8.5,1725,0.31130434782608696,0.29862583788921654,0.012678509936870419
tuned+lambda2,proton,0.5,3730,0.9890080428954423,0.9913242486822381,0.002316205786795811
tuned+lambda2,proton,1.5,9202,0.9271897413605737,0.9322963395663831,0.005106598205809387
tuned+lambda2,proton,2.5,10040,0.8600597609561753,0.8686971350282661,0.008637374072090753
tuned+lambda2,proton,3.5,10258,0.8197504386820043,0.822675926130095,0.0029254874480907356
tuned+lambda2,proton,4.5,10333,0.7682183296235362,0.7703176579063385,0.0020993282828023485
tuned+lambda2,proton,5.5,9225,0.688780487804878,0.7017135383190238,0.012933050514145839
tuned+lambda2,proton,6.5,3217,0.6077090456947467,0.6073671655687725,0.00034188012597424766
