number,state,objective_joint_nll,hidden_width,hidden_layers,pid_embedding_dim,mixture_components,dropout,epochs,batch_size,learning_rate,weight_decay,pid_loss_weight,lr_schedule,trainable_parameters,best_epoch,epochs_run,train_seconds,validation_residual_nll,validation_pid_cross_entropy,validation_pid_accuracy,moment_closure_error,pid_closure_tv,pid_closure_tv_max,pid_marginal_discrepancy,worker,closure_composite
39,COMPLETE,-4.371503145261342,768,3,8,8,0.13217878180365025,70,4096,0.002379826669720757,4.7744457147600606e-05,0.061753975253661546,cosine,1248092,69,70,198.18686808896018,-5.3548775025020365,0.9833743572406946,0.6797402825304905,0.016903468037287112,0.0129795649050869,0.029141679675558484,0.0020112718725006085,gpu1,1.1570040763183334
36,COMPLETE,-4.357034222418388,768,3,8,8,0.12338334356004757,70,4096,0.003970792636831386,3.438389257561997e-05,0.09045172155130143,cosine,1248092,70,70,200.04774541198276,-5.3424751008196,0.9854408784012115,0.6797089459632234,0.021584892988340848,0.015393925048374635,0.0437773032440813,0.0018072451734344464,gpu0,1.4210180753314388
33,COMPLETE,-4.346733206866847,384,3,32,8,0.11875276759389711,70,4096,0.0024936138523872445,5.934623117925688e-06,0.271715120588782,cosine,338468,70,70,195.43691668502288,-5.328359564182763,0.9816263573159159,0.6797966883515713,0.017031780186802094,0.011417509223474833,0.025377190362683034,0.002138857740391159,gpu1,1.0864126369429243
38,COMPLETE,-4.331819597213165,768,3,8,8,0.0806649165098392,70,4096,0.0035796686258220277,5.3578891953427155e-05,0.05096898577725545,cosine,1248092,32,42,118.89172446297016,-5.329318890465025,0.9974992932518603,0.6792890359618446,0.025724587838180532,0.0328392403046361,0.07069719466344472,0.005232366480807493,gpu0,2.386299299893171
30,COMPLETE,-4.315313838913811,384,3,32,8,0.11310538882574991,70,4096,0.0031217357000273703,8.862548497245935e-06,0.13633929180060486,cosine,338468,68,70,194.22920557600446,-5.297406446395968,0.9820926074821567,0.6801163213376954,0.03150140009651786,0.011697213310743686,0.03204832940797049,0.001304420390109251,gpu1,1.5591148023327575
5,COMPLETE,-4.312677731342617,384,3,32,8,0.07738282631838735,100,16384,0.0034550382023869914,6.517371412871644e-06,0.497551726801176,cosine,338468,99,100,79.35554697399493,-5.296281418259856,0.9836036869172389,0.6796462728286893,0.02577248983555966,0.012959295170778368,0.031113584827385365,0.001239177781570816,gpu1,1.4375789374489876
7,COMPLETE,-4.146484461131211,256,5,32,8,0.07484065866488507,40,8192,0.003751996595907619,1.8260668822976617e-05,0.157087531699094,none,292772,38,40,66.16635758400662,-5.136356330838063,0.9898718697068524,0.6790759473044284,0.03733386164108439,0.025962021426459484,0.051158871965466056,0.006867634367404285,gpu1,2.4261072835467767
8,COMPLETE,-4.130500194206178,128,8,16,5,0.12446174167080268,100,4096,0.0011033424655280545,2.4542458549435938e-08,0.10256966392922702,none,126431,66,76,295.891058311041,-5.118981765821233,0.9884815716150553,0.6792639667080309,0.04420698472414134,0.021963127969547528,0.05687165103456471,0.003831316727627182,gpu1,2.453148962457826
4,COMPLETE,-3.9797488651516626,768,8,16,8,0.1478147746691324,70,8192,0.0004887207179206297,0.00015909602486793555,5.689191268792717,cosine,4214900,37,47,218.33294227102306,-4.962542073754955,0.9827932086032924,0.6791448877524161,0.03216991463705968,0.01236517904761663,0.032634977879714866,0.0019004300848781686,gpu0,1.6122646202193884
12,COMPLETE,-3.8935808629329105,384,4,32,12,0.024665547056379442,100,4096,0.0008738424876005229,0.0006775413685722855,0.2852217311804802,none,497856,12,22,66.99642550997669,-4.895307687807621,1.0017268248747109,0.6773210995374722,0.034901497426780906,0.03009527100257244,0.06838606888853759,0.0061868152136185794,gpu0,2.5464578956188637
3,COMPLETE,-3.886745126434874,512,7,8,8,0.12066167136247964,40,16384,0.0007082324864521411,6.659582257461932e-08,1.774855978235781,cosine,1624668,40,40,83.54015508998418,-4.884439446005992,0.9976943195711175,0.6776532671505032,0.0627726155441773,0.028364837285742645,0.08113841431457455,0.0036789821567424774,gpu0,3.3485030135418943
2,COMPLETE,-3.656281566080899,1024,8,8,24,0.14520565372771704,100,16384,0.00040047466180537537,0.00019451283426872123,2.2875785707302216,none,7561420,31,41,306.15341144701233,-4.651231621761721,0.9949500556808223,0.6776908710312237,0.07427591497864708,0.024979806593508007,0.057681109501773575,0.0021372633161434174,gpu1,3.551869895575706
