split_seed,n_restarts,landed,selected_run,selected_test_pid_accuracy,selected_test_joint_nll,selected_test_pid_weighted_mean_tv,reference_test_pid_accuracy,reference_test_joint_nll,reference_test_pid_weighted_mean_tv,accuracy_gain,joint_nll_gain,tv_gain,selection_regret_vs_test_oracle
20260822,8,4,pid_restart_102,0.740428342296443,-4.990987164045867,0.008218338344214478,0.679284209202126,-4.35587406802988,0.010005758016922337,0.0611441330943171,-0.6351130960159868,-0.0017874196727078583,0.0
20260823,6,2,pid_restart_s23_203,0.739775825507422,-4.9833802749481535,0.008928722899940714,0.6796551550035342,-4.3971729704759035,0.010517671070802802,0.06012067050388781,-0.58620730447225,-0.0015889481708620881,0.0
20260824,6,1,pid_restart_s24_305,0.7365304802627035,-4.938519140611894,0.010720317010698161,0.6785272529777041,-4.306821239058818,0.011045917513467046,0.058003227284999404,-0.6316979015530757,-0.00032560050276888436,0.0
