group,n,test_joint_nll_mean,test_joint_nll_std,test_pid_accuracy_mean,test_pid_accuracy_std,pid_weighted_mean_tv_mean,pid_weighted_mean_tv_std,moment_closure_error_mean,moment_closure_error_std,reached_better_solution,failed,reference_joint_nll_mean,failure_margin
released lambda 0.397,6,-4.341714640973675,0.041638680982692175,0.6795921027205994,0.0010469281146742997,0.010538380942336544,0.0008423940711974522,0.023514544583669163,0.006522255882728184,0,0,-4.341714640973675,0.5
lambda 2 from scratch,6,-4.224429677998212,0.8701217570769391,0.6979781269600419,0.0299136123620739,0.01680238249840378,0.017242231639969317,0.03811819031911489,0.05114796932894771,2,1,-4.341714640973675,0.5
A: fine-tune at lambda 2,6,-4.342988523296313,0.03952547931811856,0.6795648820825625,0.0010531184764300517,0.010484147996495713,0.001770776367335563,0.02252504466633769,0.006328251848277957,0,0,-4.341714640973675,0.5
B: decoupled trunk LR,6,-4.354743068899967,0.05290258997613913,0.6796194124935623,0.001020064697767183,0.01207479601287856,0.0006719551607005709,0.022808859677157567,0.0025066477600195355,0,0,-4.341714640973675,0.5
