number,state,objective_joint_nll,hidden_width,hidden_layers,pid_embedding_dim,mixture_components,dropout,epochs,batch_size,learning_rate,weight_decay,pid_loss_weight,lr_schedule,trainable_parameters,best_epoch,epochs_run,train_seconds,validation_residual_nll,validation_pid_cross_entropy,validation_pid_accuracy,moment_closure_error,pid_closure_tv,pid_closure_tv_max,pid_marginal_discrepancy,worker
11,PRUNED,-3.004967336324943,128,7,16,8,0.0650157514848143,70,4096,0.0002527542793966798,0.0002968657074078613,1.430213837190554,none,112372,,,,,,,,,,,gpu1
12,COMPLETE,-3.8935808629329105,384,4,32,12,0.024665547056379442,100,4096,0.0008738424876005229,0.0006775413685722855,0.2852217311804802,none,497856,12,22,66.99642550997669,-4.895307687807621,1.0017268248747109,0.6773210995374722,0.034901497426780906,0.03009527100257244,0.06838606888853759,0.0061868152136185794,gpu0
13,PRUNED,-2.9518019069950387,512,6,8,24,0.07453364703858328,100,16384,0.0018661813686008018,2.2091658351885296e-07,2.0589227396645726,cosine,1418444,,,,,,,,,,,gpu1
14,PRUNED,-3.7191212409564307,128,4,32,12,0.10098881753293125,100,16384,0.00029239035606786384,0.0005270349663966559,9.23028538520069,none,67776,,,,,,,,,,,gpu1
15,PRUNED,-1.9762065742911457,256,7,32,16,0.11264521763183953,40,8192,0.001014193145299963,0.00044289076472245407,1.114896813177011,none,439772,,,,,,,,,,,gpu0
16,PRUNED,-1.7734559378700587,512,6,32,8,0.12707994413435064,40,8192,0.001276931634031803,3.689630945309376e-08,1.7078355768893418,none,1373348,,,,,,,,,,,gpu1
17,PRUNED,-2.2444531286507967,384,8,32,8,0.07694761916335517,100,16384,0.0023985676849254166,1.0721806150541212e-05,0.13264872982387324,cosine,1081508,,,,,,,,,,,gpu0
18,PRUNED,-2.560370242828476,384,3,32,16,0.13373698744743848,100,16384,0.0035644906356206854,7.745911668935139e-07,0.5175799970272521,cosine,360028,,,,,,,,,,,gpu1
19,PRUNED,-2.63387593282366,256,5,32,8,0.10216370736039103,40,8192,0.003391345021025408,4.808818153146405e-05,0.1357698924408889,none,292772,,,,,,,,,,,gpu0
20,PRUNED,-2.6776626925904226,256,5,32,8,0.13329600830083826,100,8192,0.0033404830867412266,1.3718288490113449e-05,0.4617612366605063,none,292772,,,,,,,,,,,gpu1
21,PRUNED,-3.162607407693608,256,3,32,24,0.05082798518747743,100,8192,0.003050191717343975,5.212965883201365e-07,1.3131391700219444,none,188948,,,,,,,,,,,gpu0
22,PRUNED,-2.8389746828783853,128,4,16,16,0.13331059801580314,100,4096,0.001905815700294309,1.4944761357366694e-06,0.23551199498775252,none,69292,,,,,,,,,,,gpu1
23,PRUNED,-3.143868320025965,128,8,16,5,0.11365925039347918,100,8192,0.0019418990647877177,4.351430906048243e-08,0.07112577956637692,none,126431,,,,,,,,,,,gpu0
24,PRUNED,-1.9279388827634403,128,8,16,12,0.11404125961251041,100,16384,0.0011626652764222566,8.863220906455839e-08,0.10724787569582846,none,132752,,,,,,,,,,,gpu1
25,PRUNED,-2.958445442313246,128,8,16,5,0.11204609365575265,100,4096,0.0006433777982860862,4.164122433178412e-08,0.13015934739106105,none,126431,,,,,,,,,,,gpu1
26,PRUNED,-2.3767515844741056,256,5,32,8,0.00985527278321835,40,8192,0.0035550632804986415,1.2962986549397507e-07,0.16643160110608268,none,292772,,,,,,,,,,,gpu0
27,PRUNED,-4.1312166294399,768,4,16,5,0.110611123050385,100,4096,0.00039048474445358956,1.7394811281678944e-08,0.09574309073571029,none,1830239,,,,,,,,,,,gpu0
28,PRUNED,-2.7700578302784162,128,3,32,8,0.08051231624463417,100,8192,0.003944004196289126,2.1536728641850078e-05,1.1004462808151694,cosine,47396,,,,,,,,,,,gpu1
29,PRUNED,-2.9607207595388303,384,3,32,8,0.08753321454879714,100,16384,0.002042729510940562,4.5834571418572583e-05,1.1635499202977788,none,338468,,,,,,,,,,,gpu1
30,COMPLETE,-4.315313838913811,384,3,32,8,0.11310538882574991,70,4096,0.0031217357000273703,8.862548497245935e-06,0.13633929180060486,cosine,338468,68,70,194.22920557600446,-5.297406446395968,0.9820926074821567,0.6801163213376954,0.03150140009651786,0.011697213310743686,0.03204832940797049,0.001304420390109251,gpu1
31,PRUNED,-2.018978694843109,256,7,32,8,0.0734925279492393,40,16384,0.0029834541941075677,8.502239552266703e-06,0.7478192367683532,cosine,425380,,,,,,,,,,,gpu0
32,PRUNED,-2.5412697501863573,768,8,16,8,0.11956662398202082,70,8192,0.0003429709501519194,1.7006583646232157e-05,1.2506628359709455,cosine,4214900,,,,,,,,,,,gpu0
33,COMPLETE,-4.346733206866847,384,3,32,8,0.11875276759389711,70,4096,0.0024936138523872445,5.934623117925688e-06,0.271715120588782,cosine,338468,70,70,195.43691668502288,-5.328359564182763,0.9816263573159159,0.6797966883515713,0.017031780186802094,0.011417509223474833,0.025377190362683034,0.002138857740391159,gpu1
34,PRUNED,-3.358195672872263,384,4,16,8,0.10385003466369754,70,4096,0.0023471853240209237,2.051070027839125e-06,0.18350809488217004,cosine,480884,,,,,,,,,,,gpu0
35,PRUNED,-3.2235530786907627,384,3,32,12,0.1345229344097901,40,4096,0.003242946662249444,2.808567502235446e-05,0.0824450734897337,cosine,349248,,,,,,,,,,,gpu0
36,COMPLETE,-4.357034222418388,768,3,8,8,0.12338334356004757,70,4096,0.003970792636831386,3.438389257561997e-05,0.09045172155130143,cosine,1248092,70,70,200.04774541198276,-5.3424751008196,0.9854408784012115,0.6797089459632234,0.021584892988340848,0.015393925048374635,0.0437773032440813,0.0018072451734344464,gpu0
37,COMPLETE,-4.392616970473436,384,3,32,8,0.06885406445511748,70,4096,0.003955996614810114,7.274509524913598e-05,0.5390004668747641,cosine,338468,69,70,194.88826201600023,-5.372324243112632,0.9797072726391959,0.6801664598453228,0.016859941694893275,0.009709830831425384,0.025276765330235686,0.0014537002229492169,gpu1
38,COMPLETE,-4.331819597213165,768,3,8,8,0.0806649165098392,70,4096,0.0035796686258220277,5.3578891953427155e-05,0.05096898577725545,cosine,1248092,32,42,118.89172446297016,-5.329318890465025,0.9974992932518603,0.6792890359618446,0.025724587838180532,0.0328392403046361,0.07069719466344472,0.005232366480807493,gpu0
39,COMPLETE,-4.371503145261342,768,3,8,8,0.13217878180365025,70,4096,0.002379826669720757,4.7744457147600606e-05,0.061753975253661546,cosine,1248092,69,70,198.18686808896018,-5.3548775025020365,0.9833743572406946,0.6797402825304905,0.016903468037287112,0.0129795649050869,0.029141679675558484,0.0020112718725006085,gpu1
40,PRUNED,-4.3038834929623135,768,8,8,8,0.12174623425429265,70,4096,0.003090144292412401,0.00013631125112632442,0.25687043299160967,none,4208732,,,,,,,,,,,gpu0
41,COMPLETE,-4.374768168081184,768,6,8,8,0.14181331057099705,70,4096,0.002958454985358802,0.00014951169938564305,0.39749949030707654,cosine,3024476,70,70,291.8728996179998,-5.354462882022697,0.979694713941513,0.679990975068627,0.015551602883567196,0.010178663777659597,0.02589271420565896,0.001676308670024107,gpu1
42,COMPLETE,-4.464554888753934,768,4,8,12,0.14582063782897656,70,4096,0.0027346998696803743,0.0002011446196592051,0.0551430855392176,cosine,1861752,70,70,220.25691280298634,-5.447804310075586,0.9832494213216519,0.6801476579049625,0.009352350125674015,0.014777131142812325,0.03379766073273097,0.0023368026399414044,gpu0
43,COMPLETE,-4.4514296130187345,128,6,8,12,0.12115051801923765,70,4096,0.0027561961611887583,9.767473161683951e-05,0.22015340403458156,cosine,98168,70,70,244.00470817298628,-5.435647771385357,0.9842181583666225,0.679734015217037,0.017956851797798174,0.01609854591575951,0.038170431959298104,0.003005685963610838,gpu1
44,PRUNED,-2.4113342301452474,768,6,8,24,0.13110253924492707,70,4096,0.0015495026843935563,0.00017467269757691568,1.1581102663758638,cosine,3110604,,,,,,,,,,,gpu0
45,PRUNED,-2.7276866577158394,768,6,8,16,0.14322785410221678,70,16384,0.003341152757356224,5.180565394665099e-05,0.19031583662722548,cosine,3067540,,,,,,,,,,,gpu0
46,PRUNED,-2.61815186960893,768,4,8,12,0.13835123095763072,70,4096,0.0022377834947226415,9.4557908680085e-05,0.08943166675248941,cosine,1861752,,,,,,,,,,,gpu0
47,COMPLETE,-4.700069434992834,768,3,32,12,0.1118457813985444,70,4096,0.0037664339889027605,0.0009089308135638061,0.07817881764917994,none,1288128,70,70,199.5204379200004,-5.536961744927185,0.8368923099343509,0.7050163576881134,0.04854434627093171,0.029588976796299873,0.052445747086453276,0.011266994037608336,gpu0
48,PRUNED,-2.0623496127825818,128,6,8,12,0.1329769779439929,70,4096,0.003412335286316468,9.180235921124322e-06,0.07011702868755869,cosine,98168,,,,,,,,,,,gpu1
49,PRUNED,-3.545511799748375,384,6,32,12,0.03626109471211495,70,4096,0.002798899644640553,0.00045347335233903927,0.745931190724298,cosine,795072,,,,,,,,,,,gpu1
50,PRUNED,-3.732006582083231,768,6,32,12,0.13189091488062837,100,4096,0.001627856479265535,8.732823132980965e-05,0.30128199488238505,cosine,3064512,,,,,,,,,,,gpu1
51,COMPLETE,-4.418626283301254,768,3,32,12,0.11121440298168596,70,4096,0.00282808570837119,0.00011743324028374106,0.10862858790791219,none,1288128,55,65,186.04863157495856,-5.404632615613346,0.9860063323120918,0.6792451647676707,0.03590327351821797,0.030067893457348602,0.06226184882347831,0.014618681978640857,gpu0
52,COMPLETE,-4.392144038118398,768,3,32,12,0.12988901075645023,70,4096,0.0032250725921018028,0.00031466357151575596,0.06804151394101944,none,1288128,61,70,199.74299585801782,-5.384725912113458,0.9925818739950595,0.6789317990949999,0.028625005059472977,0.028250774157947963,0.07653489597769314,0.010376278994864263,gpu1
53,PRUNED,-3.0615316891686963,128,8,32,12,0.11656628484774298,70,4096,0.002242227300482623,0.0007729521640703551,0.057828002388943554,none,134848,,,,,,,,,,,gpu0
54,COMPLETE,-4.403786738543238,768,3,32,12,0.09932933721928427,70,4096,0.0038789049955009203,0.0003768882863034873,0.06811577254685586,none,1288128,44,54,153.59633013501298,-5.397728307611847,0.9939415690686085,0.6793141052156583,0.034846330029995945,0.03350279569538487,0.07971799301833965,0.009858431529460254,gpu1
55,COMPLETE,-4.4083773400301824,768,3,32,12,0.11470306506593916,70,4096,0.002765203990730725,0.0008675231564817782,0.3313341525097213,none,1288128,33,43,122.69606043200474,-5.3923407310777804,0.9839633910475979,0.6797402825304905,0.034827050622271996,0.017218670869230675,0.04289013571123834,0.004943426014596186,gpu0
56,PRUNED,-3.916829459761702,768,3,32,8,0.05411075615024538,70,4096,0.002116344059734017,0.0002507010297523122,0.6929346305536671,none,1266596,,,,,,,,,,,gpu0
57,PRUNED,-1.8364366601290731,768,8,32,12,0.09491438762812851,70,8192,0.0015581080977599743,0.0007483164803794655,1.1250293725076679,none,4248768,,,,,,,,,,,gpu1
58,PRUNED,-3.3715727006900895,128,6,8,12,0.08637266507979963,70,4096,0.0020877425952448444,0.00014274764322880156,0.5013295877652828,none,98168,,,,,,,,,,,gpu0
59,PRUNED,-3.314245386658686,256,4,32,12,0.08969771725714501,70,4096,0.0038951094595585786,0.0002381195839891275,0.4694230774884703,none,233664,,,,,,,,,,,gpu1
60,PRUNED,-2.344317571224699,256,4,32,12,0.09894618643080778,70,16384,0.0034966556334545505,0.00032544656541629247,0.3901844679579992,none,233664,,,,,,,,,,,gpu0
61,COMPLETE,-4.389352318205925,1024,3,16,12,0.09422825920371664,70,4096,0.003082061389660332,1.189952420117321e-05,0.12468356514099323,none,2225296,38,48,150.70467917103088,-5.378282635683438,0.9889303174775127,0.6791260858120558,0.017395612207962555,0.02443580511246003,0.05487508560084035,0.006902473726252745,gpu0
62,PRUNED,-1.2228238880936892,768,7,32,12,0.05451623828735139,70,8192,0.0036545788394104703,0.00046095181558818366,0.06841174480122189,none,3656640,,,,,,,,,,,gpu1
63,PRUNED,-2.3937208932921106,768,7,8,12,0.1259718803030517,70,16384,0.002294074401930633,0.0001614702657459972,0.23924125723984402,none,3638136,,,,,,,,,,,gpu1
64,PRUNED,-1.8797866780662063,768,3,16,12,0.11481020944524739,70,4096,0.001061651529140633,9.10975712349628e-05,0.510725535586061,none,1275792,,,,,,,,,,,gpu1
65,COMPLETE,-4.499638579736421,128,3,32,24,0.12776615515655096,70,4096,0.0029635861196920673,6.168145726946736e-05,0.469466884949278,none,61844,60,70,195.96295869798632,-5.48426781639786,0.9846292366614401,0.6793642437232855,0.023319939560816443,0.02062457747156949,0.0405091320822457,0.008142743943518438,gpu0
66,PRUNED,-2.7738912648307066,384,3,32,5,0.04190496619465713,70,16384,0.0034721276567334603,0.0005239794665338955,0.42739643451673665,cosine,330383,,,,,,,,,,,gpu1
67,PRUNED,-0.9773345357335117,256,8,8,12,0.14378035701208522,100,4096,0.0011758360776095475,0.00038518415092722835,0.06707204610726887,cosine,492664,,,,,,,,,,,gpu1
68,PRUNED,-3.9729253271092606,128,3,32,12,0.12274212268362614,100,4096,0.0015163566990119726,0.0006349620923200981,0.3392798586127053,none,51008,,,,,,,,,,,gpu1
69,PRUNED,-2.96154545594126,128,3,32,24,0.0847943496694817,70,4096,0.003414591675688321,0.0005585996608305646,0.0525954767651965,none,61844,,,,,,,,,,,gpu1
70,PRUNED,-2.9502573301649924,128,6,8,16,0.10819457042505556,40,4096,0.0024783022405232688,1.5096023240504686e-05,0.44069255130267276,cosine,101780,,,,,,,,,,,gpu1
71,PRUNED,-3.3728954173898797,768,3,32,16,0.11095088804691933,40,4096,0.002701430771819335,0.0005711972974746522,1.2301868741236037,none,1309660,,,,,,,,,,,gpu1
72,PRUNED,-3.854821401461151,512,3,16,8,0.03869463041699882,70,4096,0.003203742312059125,0.0007229961513047267,0.6500965592532452,cosine,574068,,,,,,,,,,,gpu0
73,PRUNED,-2.694546048422806,128,6,16,12,0.10543631480902194,70,8192,0.0021797931355973495,0.00019611724792681273,0.3067340440941145,cosine,99216,,,,,,,,,,,gpu1
74,PRUNED,-3.6979290935451354,128,3,32,24,0.14479140095920043,70,4096,0.0011885931282049364,1.6122037517175397e-05,0.9653320460088066,cosine,61844,,,,,,,,,,,gpu0
75,PRUNED,-3.2621584976478077,128,3,32,24,0.1376149896100535,70,4096,0.0020762880475639974,4.11136457431536e-05,1.7064226422360758,none,61844,,,,,,,,,,,gpu1
76,PRUNED,-3.486215470077134,768,5,32,24,0.1162612333522358,70,4096,0.00357753882028885,0.0009569458106077254,0.14135745728711865,cosine,2536980,,,,,,,,,,,gpu0
77,PRUNED,-3.7454262829865104,512,6,8,5,0.11727569508139288,70,4096,0.0014513895363690956,0.0007152431949260095,0.0984543474038166,cosine,1350215,,,,,,,,,,,gpu1
78,PRUNED,-1.9059378895781816,768,6,32,8,0.14423898590458878,70,16384,0.00230602514024936,5.59579679136844e-05,0.13744193692226833,none,3042980,,,,,,,,,,,gpu1
79,PRUNED,-3.5977278570145095,128,3,32,8,0.03393443240088725,70,4096,0.002030521142696233,1.7231201214310318e-05,0.526965778176254,cosine,47396,,,,,,,,,,,gpu0
80,PRUNED,-3.880014799777996,1024,8,8,16,0.12215106420858782,70,4096,0.0035488719818800554,8.316943853675508e-05,0.06814659412241886,cosine,7504020,,,,,,,,,,,gpu0
81,COMPLETE,-4.387900764570341,768,4,16,12,0.09285228516112314,70,4096,0.0032565218990033337,8.692691963709212e-05,0.07504619290499165,none,1867920,32,42,132.63625742297154,-5.373778240330952,0.9858774757606104,0.6795459958134347,0.035157428358404616,0.018795897340715996,0.04684954769148,0.0015255336380203266,gpu1
82,COMPLETE,-4.453389209544533,768,3,32,16,0.14820726146156393,70,4096,0.002699413920106046,0.000430566436522363,0.056719930738095524,none,1309660,55,65,184.5968105949578,-5.439724944605789,0.9863357350612557,0.6795083919327142,0.033410663720151654,0.024775618286892908,0.05525080996549837,0.010394903134761158,gpu0
83,COMPLETE,-4.416580316884559,768,3,32,12,0.09837668568171451,70,4096,0.002814958495254056,0.00019187948769888003,0.050688229024110625,none,1288128,53,63,180.64479878701968,-5.401222826683562,0.984642509799003,0.6796400055152358,0.02410481218975304,0.02092095087080539,0.05672962998037653,0.007409093666615185,gpu1
84,PRUNED,-3.428798374525397,512,3,32,16,0.1479968407852609,70,8192,0.003957700966033667,0.0006728884736983069,0.0795939595920379,none,611036,,,,,,,,,,,gpu0
85,PRUNED,-1.4358545574576902,768,8,32,16,0.14775616198495484,70,4096,0.0012301564851581084,0.0005712714545938703,0.1527572153324645,cosine,4270300,,,,,,,,,,,gpu0
86,PRUNED,-3.914294151370064,768,3,32,16,0.13769002533038982,100,4096,0.0012626885126438374,0.0001654515048387617,0.07372602386716841,none,1309660,,,,,,,,,,,gpu0
87,PRUNED,-3.946180538108265,1024,6,32,16,0.12257436472328323,70,4096,0.0027430378426565073,0.00019994268688422172,0.07919988758346616,none,5425372,,,,,,,,,,,gpu0
88,COMPLETE,-4.40765155754136,768,3,32,16,0.14827439498509465,70,4096,0.003998049792977072,0.0007603748045339321,0.06675205872098186,none,1309660,68,70,197.32907768600853,-5.398197154838357,0.9905455972969963,0.6794081149174594,0.03498998138547134,0.02390403942537316,0.05855332268761072,0.006921161908138657,gpu0
89,PRUNED,-1.6127803014133095,384,3,32,16,0.13091045991258082,70,4096,0.0015440578681363488,0.00016116437045051268,0.06521933013920214,none,360028,,,,,,,,,,,gpu0
