run,generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
baseline,-211,pi-,0,0.0,1.0,False,1554,0.10337105731860827,0.10337105808129948,2112,0.9999999999999999,0.9999999984746176
baseline,-211,pi-,1,1.0,2.0,False,5700,0.051382731140281655,0.041058546735455836,-211,1.0,0.9999999992002041
baseline,-211,pi-,2,2.0,3.0,False,6579,0.032863946763699164,0.023548946939068838,-211,0.9999999999999999,0.9999999996749913
baseline,-211,pi-,3,3.0,4.0,False,7020,0.025791984356226316,0.018672741857685818,-321,1.0,0.9999999981760656
baseline,-211,pi-,4,4.0,5.0,False,7152,0.03643973283631235,0.032785059021395446,-321,1.0000000000000002,1.0000000007482588
baseline,-211,pi-,5,5.0,6.0,False,6396,0.0389929296527157,0.024379088216428813,-2212,1.0,0.9999999999035284
baseline,-211,pi-,6,6.0,7.0,False,6107,0.02842727686004403,0.01671666718256304,-211,1.0,1.0000000004485567
baseline,-211,pi-,7,7.0,8.0,False,4253,0.06509822290306232,0.04341785326953068,-321,1.0,1.0000000003725928
baseline,-211,pi-,8,8.0,9.0,True,1220,0.09569865561522913,0.07110436264669798,-321,1.0,1.0000000021238042
baseline,211,pi+,0,0.0,1.0,False,3118,0.043693875223770266,0.04265841355187683,211,1.0,1.0000000003713374
baseline,211,pi+,1,1.0,2.0,False,7438,0.036345955618251095,0.03468049895624363,2212,1.0,0.9999999986967789
baseline,211,pi+,2,2.0,3.0,False,7854,0.039887015333489956,0.027496419268344008,211,0.9999999999999999,0.9999999999178147
baseline,211,pi+,3,3.0,4.0,False,8147,0.04741812969195251,0.025819969232641612,-11,1.0000000000000002,0.9999999998994173
baseline,211,pi+,4,4.0,5.0,False,8181,0.06113847088124552,0.039048624166077225,-11,1.0,1.000000000989162
baseline,211,pi+,5,5.0,6.0,False,7698,0.03296503824261839,0.019772290794785458,-11,1.0,0.9999999995500513
baseline,211,pi+,6,6.0,7.0,False,7337,0.05232342730556416,0.027168782183937798,2212,0.9999999999999999,1.0000000008276195
baseline,211,pi+,7,7.0,8.0,False,5501,0.0998013030651869,0.0561491481254175,2212,1.0,0.9999999987548074
baseline,211,pi+,8,8.0,9.0,True,1725,0.16402471089477066,0.08535397503686987,211,1.0,0.9999999989684336
baseline,2212,proton,0,0.0,1.0,False,3730,0.05985454024801221,0.05841055605910095,2212,1.0,0.9999999994464777
baseline,2212,proton,1,1.0,2.0,False,9202,0.037262078427468516,0.02946815192310792,2212,1.0,1.0000000002552631
baseline,2212,proton,2,2.0,3.0,False,10040,0.018239134926848397,0.013746373215875796,2212,1.0,1.00000000051034
baseline,2212,proton,3,3.0,4.0,False,10258,0.022751674079544485,0.02124624880207604,2212,1.0,0.999999999814765
baseline,2212,proton,4,4.0,5.0,False,10333,0.014114785404651537,0.0065826584617368,321,1.0,1.0000000002516332
baseline,2212,proton,5,5.0,6.0,False,9225,0.05276593375379271,0.050976017432484255,2212,0.9999999999999999,1.0000000003112248
baseline,2212,proton,6,6.0,7.0,False,3217,0.12816419853519992,0.12520952337011249,2212,1.0,1.000000000171443
tuned,-211,pi-,0,0.0,1.0,False,1554,0.016476507953894992,0.013797578352720441,2112,0.9999999999999999,0.999999999943194
tuned,-211,pi-,1,1.0,2.0,False,5700,0.011168160425685037,0.008114973730274921,-211,1.0,1.0000000012412453
tuned,-211,pi-,2,2.0,3.0,False,6579,0.006911813080399791,0.0041180470775245,-211,0.9999999999999999,1.0000000006875087
tuned,-211,pi-,3,3.0,4.0,False,7020,0.007664437781536922,0.004562125704734216,-321,1.0,1.0000000001542186
tuned,-211,pi-,4,4.0,5.0,False,7152,0.010890445789903874,0.006800054064111036,-2212,1.0000000000000002,1.0000000000367708
tuned,-211,pi-,5,5.0,6.0,False,6396,0.012108131750642044,0.007305807934928202,-2212,1.0,0.9999999997578672
tuned,-211,pi-,6,6.0,7.0,False,6107,0.008510943726758138,0.006433190965771718,-321,1.0,0.9999999992472629
tuned,-211,pi-,7,7.0,8.0,False,4253,0.00979772848748473,0.004618437331394956,22,1.0,0.9999999998296701
tuned,-211,pi-,8,8.0,9.0,True,1220,0.05039025481139084,0.030842432972772782,-211,1.0,1.0000000010543715
tuned,211,pi+,0,0.0,1.0,False,3118,0.004391515624331007,0.0026394138471094175,211,1.0,0.9999999990369065
tuned,211,pi+,1,1.0,2.0,False,7438,0.004645222333691096,0.0031423770941723314,2212,1.0,0.999999999970809
tuned,211,pi+,2,2.0,3.0,False,7854,0.012546529647199857,0.010302659167773176,211,0.9999999999999999,0.9999999995876768
tuned,211,pi+,3,3.0,4.0,False,8147,0.008121642680791052,0.002957255763006428,45,1.0000000000000002,0.9999999992180194
tuned,211,pi+,4,4.0,5.0,False,8181,0.012459250047650137,0.005505226876203834,-11,1.0,0.9999999991997633
tuned,211,pi+,5,5.0,6.0,False,7698,0.014943555999227058,0.007416842169186186,-11,1.0,1.0000000008206207
tuned,211,pi+,6,6.0,7.0,False,7337,0.010434517482318065,0.00916290960833277,211,0.9999999999999999,1.0000000002688303
tuned,211,pi+,7,7.0,8.0,False,5501,0.015233426215090317,0.007101413031839865,321,1.0,1.0000000005121792
tuned,211,pi+,8,8.0,9.0,True,1725,0.02866816877717083,0.01920923313368922,211,1.0,1.0000000010984118
tuned,2212,proton,0,0.0,1.0,False,3730,0.0014811851520208108,0.00110011001694299,2212,1.0,0.9999999988029192
