run,run_dir,hidden_width,hidden_layers,pid_embedding_dim,mixture_components,dropout,batch_size,learning_rate,weight_decay,pid_loss_weight,lr_schedule,epoch_budget,epochs_run,best_epoch,trainable_parameters,test_residual_nll,test_pid_cross_entropy,test_joint_nll,test_pid_accuracy,pid_max_marginal_discrepancy,pid_weighted_mean_tv,pid_max_bin_tv,moment_closure_error,physical_sample_fraction,test_examples_per_second
baseline,runs/optuna_baseline_repro,256,4,16,8,0.03,8192,0.001,1e-05,0.2,none,30,19,14,222324,-4.530444802664157,1.0293704785408229,-3.5010743241233335,0.6750133660408215,0.002911587186732012,0.044227750315635875,0.16402471089477066,0.05613896227500818,0.96104663962009,74579.49576637107
tuned,runs/optuna_best,768,6,8,8,0.14181331057099705,4096,0.002958454985358802,0.00014951169938564305,0.39749949030707654,cosine,70,70,70,3024476,-5.336459390170155,0.9805853221402752,-4.35587406802988,0.679284209202126,0.0019959519328375808,0.010005758016922337,0.05039025481139084,0.031515307469439015,0.9907978740132717,76011.72153495665
tuned+lambda2,runs/optuna_best_pidweight,768,6,8,8,0.14181331057099705,4096,0.002958454985358802,0.00014951169938564305,2.0,cosine,70,70,70,3024476,-5.728556312251872,0.7194608815939212,-5.0090954306579505,0.7401578765292324,0.00288512108221696,0.009356010860324556,0.03273311200751767,0.014019228441387421,0.9909048023398433,79667.03885249453
