metric,baseline_mean,baseline_std,baseline_n,tuned_mean,tuned_std,tuned_n,tuned_minus_baseline,tuned_separation_in_combined_std,tuned_paired_mean_difference,tuned_paired_std,tuned_paired_n,tuned_paired_consistent_sign,tuned_paired_t
test_residual_nll,-4.638844193234298,0.09489271098513634,3,-5.33498729981905,0.04214432312454703,3,-0.6961431065847528,6.704611615468114,-0.6961431065847536,0.11039449033026941,3,True,-10.922241013445033
test_pid_cross_entropy,1.0351295040301511,0.020363245984655078,3,0.9816978739641834,0.003199357543200643,3,-0.05343163006596774,2.5921268218641496,-0.05343163006596763,0.023146318320139435,3,True,-3.9983161350095533
test_joint_nll,-3.6037146892041463,0.0950249120766694,3,-4.353289425854867,0.04523128479156784,3,-0.7495747366507208,7.122480189293324,-0.7495747366507216,0.12045193663424462,3,True,-10.77858575152209
test_pid_accuracy,0.6753683173711907,0.0003098141211732121,3,0.6791555390611214,0.0005748545458266117,3,0.00378722168993062,5.79949886631527,0.003787221689930731,0.0006718510601777062,3,True,9.7635633480311
pid_weighted_mean_tv,0.0494888522809385,0.015824201321754546,3,0.010523115533730728,0.0005201011211249843,3,-0.038965736747207776,2.4610851600104087,-0.038965736747207776,0.01595613149356045,3,True,-4.229761820887179
moment_closure_error,0.04157163939535182,0.012727212134762415,3,0.024033018529905015,0.0072525759553874825,3,-0.017538620865446806,1.197289052274691,-0.017538620865446792,0.0063350398461421206,3,True,-4.795199899514567
physical_sample_fraction,0.976852245131409,0.013802084776406542,3,0.9911344126327138,0.00043857412692377667,3,0.014282167501304843,1.0342613282714999,0.014282167501304807,0.013559925152053414,3,True,1.824305036869832
pid_max_bin_tv,0.13456845522069955,0.058094365938195495,3,0.036066908660488624,0.01240677928748442,3,-0.09850154656021093,1.6581521836901103,-0.09850154656021093,0.054050677856838966,3,True,-3.1564762928280214
