generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1554,-2212,2,0.001287001287001287,0.00090946153284367,0.0012481763526650596,3.110070923554327e-05,-3.882493433622733e-05,3.882493433622733e-05
-211,pi-,0,0.0,1.0,False,1554,-321,15,0.009652509652509652,0.002480209791786323,0.006561457349564016,0.00015546380150976703,-0.003091052302945636,0.003091052302945636
-211,pi-,0,0.0,1.0,False,1554,-211,812,0.5225225225225225,0.012670782775794313,0.5348306703126535,0.010968507384450907,0.012308147790131008,0.012308147790131008
-211,pi-,0,0.0,1.0,False,1554,-11,0,0.0,0.0,1.5132615723377115e-05,3.9987424393910297e-07,1.5132615723377115e-05,1.5132615723377115e-05
-211,pi-,0,0.0,1.0,False,1554,11,1,0.0006435006435006435,0.000643293563642184,0.0009975354682595925,2.1334926594829865e-05,0.000354034824758949,0.000354034824758949
-211,pi-,0,0.0,1.0,False,1554,22,144,0.09266409266409266,0.007355535242908827,0.09103705398163049,0.002498277146142216,-0.0016270386824621674,0.0016270386824621674
-211,pi-,0,0.0,1.0,False,1554,45,0,0.0,0.0,0.00015345487118305137,1.1514696949238335e-05,0.00015345487118305137,0.00015345487118305137
-211,pi-,0,0.0,1.0,False,1554,211,1,0.0006435006435006435,0.000643293563642184,0.0007871283336056434,0.00010268695591918372,0.00014362769010499996,0.00014362769010499996
-211,pi-,0,0.0,1.0,False,1554,321,0,0.0,0.0,0.00014733710692337105,4.784809645517895e-06,0.00014733710692337105,0.00014733710692337105
-211,pi-,0,0.0,1.0,False,1554,2112,570,0.3667953667953668,0.01222526988416014,0.3559851179347689,0.010024337291511115,-0.010810248860597893,0.010810248860597893
-211,pi-,0,0.0,1.0,False,1554,2212,9,0.005791505791505791,0.0019249035564222077,0.00823684274030944,0.0008767388122760204,0.0024453369488036487,0.0024453369488036487
-211,pi-,0,0.0,1.0,False,1554,OTHER,0,0.0,0.0,9.112223534854528e-08,1.4145478345909712e-09,9.112223534854528e-08,9.112223534854528e-08
-211,pi-,1,1.0,2.0,False,5700,-2212,64,0.011228070175438596,0.0013956071819251493,0.012012571159309452,0.00011393183182248623,0.0007845009838708568,0.0007845009838708568
-211,pi-,1,1.0,2.0,False,5700,-321,134,0.023508771929824562,0.002006835230964768,0.020540726763123403,0.00013430871106848694,-0.002968045166701159,0.002968045166701159
-211,pi-,1,1.0,2.0,False,5700,-211,4136,0.7256140350877193,0.00591012077490269,0.7396722737499748,0.004118406909083825,0.014058238662255529,0.014058238662255529
-211,pi-,1,1.0,2.0,False,5700,-11,1,0.00017543859649122806,0.00017542320646562792,3.3158833596428995e-05,5.453110589741879e-07,-0.00014227976289479908,0.00014227976289479908
-211,pi-,1,1.0,2.0,False,5700,11,8,0.0014035087719298245,0.000495866941521816,0.0011364723891752523,7.059142899324355e-06,-0.0002670363827545722,0.0002670363827545722
-211,pi-,1,1.0,2.0,False,5700,22,550,0.09649122807017543,0.003910863658725229,0.08889306309387872,0.0013760896942433788,-0.007598164976296715,0.007598164976296715
-211,pi-,1,1.0,2.0,False,5700,45,1,0.00017543859649122806,0.00017542320646562792,0.0002460654436276456,1.0492681470147064e-05,7.062684713641753e-05,7.062684713641753e-05
-211,pi-,1,1.0,2.0,False,5700,211,13,0.0022807017543859647,0.0006318311113855111,0.002878743661779465,0.00017222754453556278,0.0005980419073935003,0.0005980419073935003
-211,pi-,1,1.0,2.0,False,5700,321,0,0.0,0.0,0.00022249439163332633,5.749106751244998e-06,0.00022249439163332633,0.00022249439163332633
-211,pi-,1,1.0,2.0,False,5700,2112,723,0.1268421052631579,0.0044079908618120936,0.12245552144013346,0.002929322454895469,-0.00438658382302444,0.00438658382302444
-211,pi-,1,1.0,2.0,False,5700,2212,70,0.012280701754385965,0.001458783807245514,0.011908838498230469,0.0007080578886578354,-0.0003718632561554962,0.0003718632561554962
-211,pi-,1,1.0,2.0,False,5700,OTHER,0,0.0,0.0,7.110745963040107e-08,5.637300533466839e-10,7.110745963040107e-08,7.110745963040107e-08
-211,pi-,2,2.0,3.0,False,6579,-2212,241,0.036631706946344426,0.002316033351828601,0.03307209644472675,0.00020950876092599107,-0.0035596105016176757,0.0035596105016176757
-211,pi-,2,2.0,3.0,False,6579,-321,334,0.05076759385924912,0.0027064476131315085,0.04838584561100057,0.0003380223997129159,-0.0023817482482485497,0.0023817482482485497
-211,pi-,2,2.0,3.0,False,6579,-211,4535,0.6893144854841161,0.005705441566833074,0.7040882237975591,0.003453045281190951,0.014773738313442975,0.014773738313442975
-211,pi-,2,2.0,3.0,False,6579,-11,0,0.0,0.0,4.7578285271328164e-05,8.430766943689177e-07,4.7578285271328164e-05,4.7578285271328164e-05
-211,pi-,2,2.0,3.0,False,6579,11,7,0.0010639914880680955,0.0004019369825244644,0.0009943135861890065,5.52507206673979e-06,-6.967790187908897e-05,6.967790187908897e-05
-211,pi-,2,2.0,3.0,False,6579,22,529,0.08040735674114607,0.003352476125662036,0.0756264649592606,0.0010770544749090076,-0.0047808917818854685,0.0047808917818854685
