variable,bin_index,low,high,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_mc,absolute_difference,observed_binomial_standard_error,fm_mean_standard_error
gen_phi,0,-180.0,-120.0,83100,0.5006498098373413,0.5000941157341003,-0.0005556941032409668,0.0005556941032409668,0.0017344793180604622,0.001495045911456348
gen_phi,1,-120.0,-60.0,83612,0.5012319087982178,0.5012445449829102,1.2636184692382812e-05,1.2636184692382812e-05,0.0017291568132198141,0.001489431778141134
gen_phi,2,-60.0,0.0,83496,0.49849095940589905,0.5010119080543518,0.002520948648452759,0.002520948648452759,0.0017303549160323875,0.001491898729205033
gen_phi,3,0.0,60.0,83324,0.4950554370880127,0.49631422758102417,0.0012587904930114746,0.0012587904930114746,0.0017320631109589487,0.001498831939478461
gen_phi,4,60.0,120.0,83530,0.48917755484580994,0.4903578460216522,0.0011802911758422852,0.0011802911758422852,0.0017296052945137694,0.0014808729964782992
gen_phi,5,120.0,180.0,83376,0.4816853702068329,0.4822466969490051,0.0005613267421722412,0.0005613267421722412,0.001730445531606438,0.0014919125940990577
