generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45442,0.55391488050702,0.5550296306610107
211,pi+,56908,0.5900224924439446,0.5909615755081177
2212,proton,56014,0.8107437426357696,0.8113837838172913
