generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45817,0.5499705349542746,0.5502274036407471
211,pi+,56774,0.5906400817275513,0.5824933052062988
2212,proton,55891,0.8142992610617094,0.813916027545929
