generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,observed_mean,sampled_mean,absolute_mean_difference,observed_std,sampled_std,std_ratio,observed_q05,sampled_q05,observed_median,sampled_median,observed_q95,sampled_q95,wasserstein_1d,observed_in_training_domain_fraction,sampled_in_training_domain_fraction
-211,pi-,0,0.0,1.0,False,1551,0.8939560668883145,0.8931073021761253,0.0008487647121891984,0.1353076781069782,0.13985809033639818,1.0336301109669646,0.5878106464554502,0.6004714600559222,0.9721636801818725,0.9726444067335848,0.9923664930058536,0.9941820182614571,0.012663662378704046,1.0,0.9987105093488072
-211,pi-,1,1.0,2.0,False,5686,0.954754126259754,0.947524596633743,0.007229529626010978,0.10001810946769915,0.10447395987215939,1.0445504361977493,0.7275421514196858,0.6946908132300955,0.9930073912460624,0.9919028693112529,1.0012979213687931,1.003705656899804,0.011938928267064356,1.0,0.9992965177629265
-211,pi-,2,2.0,3.0,False,6562,0.9569731018205924,0.9581749338704885,0.001201832049896101,0.0987156682484703,0.09558527564456429,0.9682887969108741,0.7255686222309434,0.7295486386150304,0.9960406119512624,0.9957097939972435,1.0041626269732038,1.0058519959027115,0.004883506609683327,1.0,0.9995428223102713
-211,pi-,3,3.0,4.0,False,6996,0.9624650208060755,0.965842842456634,0.0033778216505584435,0.09642820168659579,0.08766370586683934,0.9091085837290402,0.7578651292926125,0.7552066736553426,0.9969582267316235,0.9965610797396919,1.0050720282145176,1.0071296188259944,0.005628675223622233,1.0,0.9994282447112636
-211,pi-,4,4.0,5.0,False,7120,0.9674138788789702,0.9673865175092313,2.736136973890968e-05,0.08633150409226528,0.08507199138927769,0.9854107406533598,0.7900770590136008,0.7659180104423632,0.9973303082107698,0.9971959846211624,1.0055805093406112,1.0081122470478325,0.006527663857750452,1.0,0.9992977528089888
-211,pi-,5,5.0,6.0,False,6370,0.9675164528166427,0.9687103043408493,0.0011938515242065906,0.08654239779402981,0.08616463903259243,0.9956349861909715,0.7918915476607657,0.7703766123074939,0.9974557751816334,0.9973183083556942,1.0057748911448523,1.0091273469307864,0.006036216812075489,1.0,0.9985871271585557
-211,pi-,6,6.0,7.0,False,6084,0.9739205785731812,0.9735448631880101,0.0003757153851710049,0.07912590681295377,0.0777500294820057,0.9826115442291168,0.8286887724634899,0.7894641401027367,0.9979447425166414,0.9974767487745868,1.006238431054023,1.0087397752719351,0.007259010314506669,1.0,0.9980276134122288
-211,pi-,7,7.0,8.0,False,4235,0.9741029805572142,0.9710739378569064,0.0030290427003077935,0.07665311525752265,0.08085909460810112,1.0548702989623855,0.8300064439300084,0.7841960405372904,0.9980062241963348,0.9977208388680605,1.0060152760050738,1.0091972410371606,0.00800704454618496,1.0,0.9992916174734356
-211,pi-,8,8.0,9.0,True,1213,0.9531035985002418,0.9549818065510579,0.001878208050816066,0.10107955949731381,0.09500454390116868,0.9398986736155436,0.735769669338706,0.7391648741689218,0.9961702246571342,0.9963623687933927,1.0061059955162661,1.012873488361486,0.008268898204295216,1.0,0.9991755976916735
211,pi+,0,0.0,1.0,False,3116,0.9684124133122777,0.9644715344566752,0.003940878855602459,0.06921330111946966,0.06656116116878971,0.9616816434444867,0.9457406378383297,0.8431546566250729,0.9821154181690992,0.9800525122329591,0.9943957753417694,0.996251076475567,0.00935136668483587,1.0,0.9996790757381258
