device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pidweight_warmup_20260825
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-3.32892 val_loss=-3.34885 val_nll=-5.31299 val_joint_nll=-4.33092 val_pid_acc=0.6789
epoch=48 train_loss=-3.33287 val_loss=-3.36439 val_nll=-5.32916 val_joint_nll=-4.34678 val_pid_acc=0.6791
epoch=49 train_loss=-3.33522 val_loss=-3.36417 val_nll=-5.32827 val_joint_nll=-4.34622 val_pid_acc=0.6790
epoch=50 train_loss=-3.33944 val_loss=-3.36775 val_nll=-5.33189 val_joint_nll=-4.34982 val_pid_acc=0.6789
epoch=51 train_loss=-3.34129 val_loss=-3.36723 val_nll=-5.33147 val_joint_nll=-4.34935 val_pid_acc=0.6788
epoch=52 train_loss=-3.34381 val_loss=-3.37090 val_nll=-5.33464 val_joint_nll=-4.35277 val_pid_acc=0.6790
epoch=53 train_loss=-3.34616 val_loss=-3.37140 val_nll=-5.33550 val_joint_nll=-4.35345 val_pid_acc=0.6790
epoch=54 train_loss=-3.34862 val_loss=-3.37328 val_nll=-5.33609 val_joint_nll=-4.35468 val_pid_acc=0.6791
epoch=55 train_loss=-3.35131 val_loss=-3.37222 val_nll=-5.33596 val_joint_nll=-4.35409 val_pid_acc=0.6788
epoch=56 train_loss=-3.35397 val_loss=-3.37893 val_nll=-5.34237 val_joint_nll=-4.36065 val_pid_acc=0.6789
epoch=57 train_loss=-3.35576 val_loss=-3.37519 val_nll=-5.33818 val_joint_nll=-4.35669 val_pid_acc=0.6790
epoch=58 train_loss=-3.35765 val_loss=-3.37989 val_nll=-5.34268 val_joint_nll=-4.36129 val_pid_acc=0.6790
epoch=59 train_loss=-3.35878 val_loss=-3.38151 val_nll=-5.34443 val_joint_nll=-4.36297 val_pid_acc=0.6791
epoch=60 train_loss=-3.36079 val_loss=-3.38016 val_nll=-5.34358 val_joint_nll=-4.36187 val_pid_acc=0.6790
epoch=61 train_loss=-3.36243 val_loss=-3.38116 val_nll=-5.34366 val_joint_nll=-4.36241 val_pid_acc=0.6793
epoch=62 train_loss=-3.36468 val_loss=-3.38405 val_nll=-5.34650 val_joint_nll=-4.36528 val_pid_acc=0.6791
epoch=63 train_loss=-3.36546 val_loss=-3.38631 val_nll=-5.34884 val_joint_nll=-4.36758 val_pid_acc=0.6792
epoch=64 train_loss=-3.36655 val_loss=-3.38771 val_nll=-5.34981 val_joint_nll=-4.36876 val_pid_acc=0.6792
epoch=65 train_loss=-3.36769 val_loss=-3.38680 val_nll=-5.34904 val_joint_nll=-4.36792 val_pid_acc=0.6791
epoch=66 train_loss=-3.36906 val_loss=-3.38743 val_nll=-5.34955 val_joint_nll=-4.36849 val_pid_acc=0.6791
epoch=67 train_loss=-3.36924 val_loss=-3.38630 val_nll=-5.34835 val_joint_nll=-4.36733 val_pid_acc=0.6792
epoch=68 train_loss=-3.36961 val_loss=-3.38847 val_nll=-5.35058 val_joint_nll=-4.36953 val_pid_acc=0.6792
epoch=69 train_loss=-3.36994 val_loss=-3.38779 val_nll=-5.34990 val_joint_nll=-4.36884 val_pid_acc=0.6791
epoch=70 train_loss=-3.36996 val_loss=-3.38901 val_nll=-5.35101 val_joint_nll=-4.37001 val_pid_acc=0.6792
test_nll=-5.328312
test_pid_accuracy=0.6793
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pidweight_warmup_20260825/model.pt
