device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_204
loading deterministic, event-disjoint data splits...
loaded train=1,271,243, validation=159,550, test=158,448 in 5.32s
trainable_parameters=3,024,476
epoch=01 train_loss=2.34863 val_loss=-0.97947 val_nll=-3.05921 val_joint_nll=-2.01934 val_pid_acc=0.6749
epoch=02 train_loss=-0.78593 val_loss=-1.78391 val_nll=-3.81930 val_joint_nll=-2.80160 val_pid_acc=0.6751
epoch=03 train_loss=-1.13556 val_loss=-1.27039 val_nll=-3.30218 val_joint_nll=-2.28629 val_pid_acc=0.6750
epoch=04 train_loss=-1.43233 val_loss=-1.51602 val_nll=-3.56190 val_joint_nll=-2.53896 val_pid_acc=0.6734
epoch=05 train_loss=-1.77879 val_loss=-2.05126 val_nll=-4.06961 val_joint_nll=-3.06043 val_pid_acc=0.6764
epoch=06 train_loss=-2.06359 val_loss=-2.28323 val_nll=-4.29334 val_joint_nll=-3.28828 val_pid_acc=0.6754
epoch=07 train_loss=-2.32844 val_loss=-2.49313 val_nll=-4.49189 val_joint_nll=-3.49251 val_pid_acc=0.6758
epoch=08 train_loss=-2.49806 val_loss=-2.77449 val_nll=-4.77029 val_joint_nll=-3.77239 val_pid_acc=0.6756
epoch=09 train_loss=-2.57374 val_loss=-2.88184 val_nll=-4.87164 val_joint_nll=-3.87674 val_pid_acc=0.6766
epoch=10 train_loss=-2.69390 val_loss=-2.90926 val_nll=-4.89341 val_joint_nll=-3.90134 val_pid_acc=0.6764
epoch=11 train_loss=-2.76480 val_loss=-3.00776 val_nll=-5.00002 val_joint_nll=-4.00389 val_pid_acc=0.6746
epoch=12 train_loss=-2.82809 val_loss=-2.90618 val_nll=-4.88926 val_joint_nll=-3.89772 val_pid_acc=0.6763
epoch=13 train_loss=-2.88132 val_loss=-2.95124 val_nll=-4.93158 val_joint_nll=-3.94141 val_pid_acc=0.6764
epoch=14 train_loss=-2.92434 val_loss=-3.04152 val_nll=-5.02263 val_joint_nll=-4.03207 val_pid_acc=0.6764
epoch=15 train_loss=-2.96944 val_loss=-3.08639 val_nll=-5.06658 val_joint_nll=-4.07648 val_pid_acc=0.6763
epoch=16 train_loss=-2.99936 val_loss=-3.04961 val_nll=-5.02945 val_joint_nll=-4.03953 val_pid_acc=0.6765
epoch=17 train_loss=-3.01630 val_loss=-3.06956 val_nll=-5.04738 val_joint_nll=-4.05847 val_pid_acc=0.6765
epoch=18 train_loss=-3.05342 val_loss=-3.12684 val_nll=-5.10305 val_joint_nll=-4.11494 val_pid_acc=0.6762
epoch=19 train_loss=-3.06845 val_loss=-3.13929 val_nll=-5.11276 val_joint_nll=-4.12602 val_pid_acc=0.6774
epoch=20 train_loss=-3.09344 val_loss=-3.13012 val_nll=-5.10641 val_joint_nll=-4.11827 val_pid_acc=0.6771
epoch=21 train_loss=-3.12059 val_loss=-3.13278 val_nll=-5.11022 val_joint_nll=-4.12150 val_pid_acc=0.6764
epoch=22 train_loss=-3.12969 val_loss=-3.19981 val_nll=-5.17176 val_joint_nll=-4.18579 val_pid_acc=0.6775
epoch=23 train_loss=-3.15521 val_loss=-3.19135 val_nll=-5.16623 val_joint_nll=-4.17879 val_pid_acc=0.6773
epoch=24 train_loss=-3.17199 val_loss=-3.19527 val_nll=-5.16627 val_joint_nll=-4.18077 val_pid_acc=0.6779
epoch=25 train_loss=-3.18390 val_loss=-3.22972 val_nll=-5.20508 val_joint_nll=-4.21740 val_pid_acc=0.6765
epoch=26 train_loss=-3.19924 val_loss=-3.24453 val_nll=-5.21550 val_joint_nll=-4.23001 val_pid_acc=0.6776
