contrast,control,treatment,metric,control_mean,control_sd,treatment_mean,treatment_sd,n_pairs,mean_improvement,median_improvement,improvement_sd,ci95_low,ci95_high,favorable_pairs,exact_sign_flip_p
delta_beta_target_without_input,A_original,C_beta_target,correct_mae_unweighted_pi_plus,0.02056347663766603,0.006464125101746822,0.017897821338499903,0.0036511283776940787,10,0.002665655299166125,0.0021833115556329358,0.007240614862164467,-0.0025140666295895863,0.007845377227921837,6,0.28125
delta_beta_target_without_input,A_original,C_beta_target,correct_mae_unweighted_proton,0.02093466894906099,0.005948580533536121,0.023413556122930092,0.005971801180981762,10,-0.002478887173869108,-0.0018927722883928981,0.006914074591769053,-0.007425011841703345,0.0024672374939651285,3,0.310546875
combined_vs_original,A_original,D_input_target_pid02,macro_weighted_bin_tv,0.03440470259857095,0.005406121321897474,0.035932742299198614,0.007378661752828202,10,-0.0015280397006276585,-0.0015421223107744807,0.0060071042158841,-0.00582534456045753,0.002769265159202213,5,0.439453125
combined_vs_original,A_original,D_input_target_pid02,macro_correct_mae_unweighted,0.01851186313721933,0.004049863166194201,0.019411682541097493,0.006301438069174751,10,-0.0008998194038781673,-0.0021157008781086386,0.006283404693624658,-0.005394781461435391,0.003595142653679056,4,0.669921875
combined_vs_original,A_original,D_input_target_pid02,macro_correct_mae_weighted,0.01618645099592403,0.0037227071299839915,0.01758466751172617,0.005308992150897235,10,-0.0013982165158021426,-0.0023989966397805675,0.005708404754753553,-0.00548184060702628,0.0026854075754219942,3,0.45703125
combined_vs_original,A_original,D_input_target_pid02,test_pid_cross_entropy,1.0060521359302463,0.0071724435024796505,1.00603014325452,0.007760660194788735,10,2.1992675726190126e-05,0.000407153316169917,0.00617641439560822,-0.004396431683949089,0.00444041703540147,5,0.994140625
combined_vs_original,A_original,D_input_target_pid02,correct_mae_unweighted_pi_minus,0.014037443824930967,0.0045092258353849,0.015182090589933523,0.0041729668814589034,10,-0.0011446467650025561,0.00013016234992616407,0.004680309884923075,-0.0044928021642059324,0.00220350863420082,5,0.5703125
combined_vs_original,A_original,D_input_target_pid02,correct_mae_unweighted_pi_plus,0.02056347663766603,0.006464125101746822,0.018477952733551968,0.00803965037893435,10,0.002085523904114062,0.0009597824674938771,0.009019336512342753,-0.0043666429360157705,0.008537690744243895,6,0.48046875
combined_vs_original,A_original,D_input_target_pid02,correct_mae_unweighted_proton,0.02093466894906099,0.005948580533536121,0.024575004299806996,0.01068281489348406,10,-0.003640335350746009,-0.0025615644746063704,0.011249134408101822,-0.011687633720065337,0.00440696301857332,3,0.412109375
beta_input_with_target,C_beta_target,D_input_target_pid02,macro_weighted_bin_tv,0.03508550950509599,0.006822915527589941,0.035932742299198614,0.007378661752828202,10,-0.0008472327941026255,0.0005201859165799381,0.005665604897427295,-0.0049002391320336165,0.0032057735438283655,7,0.796875
beta_input_with_target,C_beta_target,D_input_target_pid02,macro_correct_mae_unweighted,0.018804646728324544,0.0030717168728845896,0.019411682541097493,0.006301438069174751,10,-0.0006070358127729499,0.001733469821709339,0.0060310024736672995,-0.004921436780081972,0.0037073651545360717,6,0.921875
beta_input_with_target,C_beta_target,D_input_target_pid02,macro_correct_mae_weighted,0.016776321738135917,0.0026415072468661017,0.01758466751172617,0.005308992150897235,10,-0.0008083457735902546,0.0002174137135486755,0.004707012730186969,-0.004175603599287314,0.0025589120521068045,5,0.826171875
beta_input_with_target,C_beta_target,D_input_target_pid02,test_pid_cross_entropy,1.005514408379537,0.00853336959060407,1.00603014325452,0.007760660194788735,10,-0.0005157348749830315,0.0008322011357705938,0.006057290018432428,-0.0048489411750801,0.003817471425114037,7,0.890625
beta_input_with_target,C_beta_target,D_input_target_pid02,correct_mae_unweighted_pi_minus,0.015102562723543633,0.0035597897928087248,0.015182090589933523,0.0041729668814589034,10,-7.95278663898882e-05,0.0002835327981415645,0.0030974360013364863,-0.002295342059584518,0.002136286326804742,5,0.9375
beta_input_with_target,C_beta_target,D_input_target_pid02,correct_mae_unweighted_pi_plus,0.017897821338499903,0.0036511283776940787,0.018477952733551968,0.00803965037893435,10,-0.0005801313950520628,0.0015447862686564567,0.006915362289421147,-0.005527177243738081,0.004366914453633956,7,0.859375
beta_input_with_target,C_beta_target,D_input_target_pid02,correct_mae_unweighted_proton,0.023413556122930092,0.005971801180981762,0.024575004299806996,0.01068281489348406,10,-0.0011614481768768999,0.0016157352765304254,0.010606608288048474,-0.008749102345089837,0.006426205991336037,6,0.90234375
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,macro_weighted_bin_tv,0.03413032977213929,0.0044537089965463765,0.035932742299198614,0.007378661752828202,10,-0.0018024125270593226,-0.00036128766599184334,0.006409012700247184,-0.006387230841124506,0.00278240578700586,4,0.38671875
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,macro_correct_mae_unweighted,0.018125582521431406,0.0027890973510848343,0.019411682541097493,0.006301438069174751,10,-0.001286100019666088,3.071493453134927e-05,0.007347916726511075,-0.006542582531650273,0.003970382492318097,5,0.65234375
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,macro_correct_mae_weighted,0.015845929337992337,0.002506111051019236,0.01758466751172617,0.005308992150897235,10,-0.001738738173733837,-0.000980318431215368,0.006232076201878061,-0.006196981344935278,0.0027195049974676035,5,0.4296875
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,test_pid_cross_entropy,1.0057193936661037,0.006225700196090654,1.00603014325452,0.007760660194788735,10,-0.000310749588416348,-0.0002819566181584965,0.006411190897250634,-0.00489712612025705,0.0042756269434243545,4,0.8984375
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,correct_mae_unweighted_pi_minus,0.015602047320766152,0.0046333769323042675,0.015182090589933523,0.0041729668814589034,10,0.00041995673083263034,0.001346124892883176,0.0052375600058722025,-0.003326838939429042,0.004166752401094303,6,0.80078125
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,correct_mae_unweighted_pi_plus,0.019155350956186576,0.0028275407517645342,0.018477952733551968,0.00803965037893435,10,0.0006773982226346128,0.0027895598049994946,0.008810357699661762,-0.005625271349749994,0.00698006779501922,6,0.818359375
delta_beta_target_with_input,B_beta_input,D_input_target_pid02,correct_mae_unweighted_proton,0.01961934928734149,0.006501130932026335,0.024575004299806996,0.01068281489348406,10,-0.0049556550124655084,-0.00328658844860771,0.012507948341224257,-0.013903471674463142,0.003992161649532124,2,0.251953125
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,macro_weighted_bin_tv,0.035932742299198614,0.007378661752828202,0.02418298109933468,0.0015998731746513842,10,0.011749761199863935,0.009757829706875866,0.006801392332011999,0.006884246091156406,0.016615276308571465,10,0.001953125
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,macro_correct_mae_unweighted,0.019411682541097493,0.006301438069174751,0.012022144239794998,0.00101880544698002,10,0.007389538301302496,0.007375261798320309,0.006457686528477219,0.0027699001687220342,0.012009176433882957,9,0.00390625
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,macro_correct_mae_weighted,0.01758466751172617,0.005308992150897235,0.010675509568854604,0.001175180048428944,10,0.006909157942871569,0.006070845958602959,0.005495564021466748,0.0029777938232831208,0.010840522062460018,9,0.00390625
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,test_pid_cross_entropy,1.00603014325452,0.007760660194788735,0.992933290425222,0.0013619054319702582,10,0.013096852829298034,0.011874349101618331,0.00727629130695874,0.007891609026093982,0.018302096632502086,10,0.001953125
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,correct_mae_unweighted_pi_minus,0.015182090589933523,0.0041729668814589034,0.012245499879368685,0.002403263250920183,10,0.002936590710564838,0.003260176905556734,0.004199815416139975,-6.78331431855526e-05,0.005941014564315229,7,0.060546875
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,correct_mae_unweighted_pi_plus,0.018477952733551968,0.00803965037893435,0.011883891695232131,0.0024730603015584857,10,0.006594061038319834,0.005246092883318163,0.008183629624994696,0.0007397342121684414,0.012448387864471227,8,0.013671875
pid_weight_0.2_to_1.0,D_input_target_pid02,D_input_target_pid1,correct_mae_unweighted_proton,0.024575004299806996,0.01068281489348406,0.011937041144784184,0.002845314950123968,10,0.012637963155022813,0.01108930983273886,0.010077207732672764,0.005429026501548023,0.019846899808497603,10,0.001953125
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,macro_weighted_bin_tv,-0.0008472327941026255,0.005665604897427295,0.00027437282643166425,0.0028818410416619256,10,-0.0011216056205342897,0.0009436134589088027,0.006725944851921915,-0.00593314783128614,0.0036899365902175615,6,0.732421875
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,macro_correct_mae_unweighted,-0.0006070358127729499,0.0060310024736672995,0.0003862806157879208,0.0032041981113482346,10,-0.0009933164285608705,0.0014629437505669658,0.007929335770610184,-0.006665728945088354,0.004679096087966612,8,0.8671875
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,macro_correct_mae_weighted,-0.0008083457735902546,0.004707012730186969,0.0003405216579316941,0.0030450298232532137,10,-0.0011488674315219486,0.0011817335453458274,0.006300092320409927,-0.005655767324200085,0.0033580324611561874,8,0.720703125
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,test_pid_cross_entropy,-0.0005157348749830315,0.006057290018432428,0.00033274226414253816,0.002376541203688849,10,-0.0008484771391255696,0.0012762678857842213,0.007082922607357448,-0.005915390688238412,0.004218436409987272,7,0.810546875
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,correct_mae_unweighted_pi_minus,-7.95278663898882e-05,0.0030974360013364863,-0.0015646034958351866,0.004014571988655496,10,0.0014850756294452982,0.0016623381987489524,0.005395124328641638,-0.002374436901659655,0.005344588160550251,8,0.419921875
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,correct_mae_unweighted_pi_plus,-0.0005801313950520628,0.006915362289421147,0.0014081256814794491,0.005804855876040605,10,-0.001988257076531512,0.0001339011864226131,0.009955238724561017,-0.009109940705508857,0.005133426552445834,5,0.583984375
factorial_interaction_beta_input_by_beta_target,input_effect_with_target,input_effect_without_target,correct_mae_unweighted_proton,-0.0011614481768768999,0.010606608288048474,0.0013153196617195003,0.0024316685971473985,10,-0.0024767678385964,0.0008153538491046074,0.011184514032923781,-0.010477838700897897,0.005524303023705096,6,0.814453125
