variant,n_seeds,macro_weighted_bin_tv_mean,macro_weighted_bin_tv_sd,macro_correct_mae_unweighted_mean,macro_correct_mae_unweighted_sd,macro_correct_mae_weighted_mean,macro_correct_mae_weighted_sd,test_pid_cross_entropy_mean,test_pid_cross_entropy_sd,test_pid_accuracy_mean,test_pid_accuracy_sd,mean_w1_delta_p_mean,mean_w1_delta_p_sd,mean_w1_delta_theta_mean,mean_w1_delta_theta_sd,mean_w1_delta_phi_mean,mean_w1_delta_phi_sd,mean_beta_w1_mean,mean_beta_w1_sd
A_original,10,0.03440470259857095,0.005406121321897474,0.01851186313721933,0.004049863166194201,0.01618645099592403,0.0037227071299839915,1.0060521359302463,0.0071724435024796505,0.6767632917302911,0.0005044279937042321,0.04650755766779184,0.008354167136537343,0.0024858163902536034,0.00032731431327642075,0.015606195759028196,0.0018384939282722996,,
B_beta_input,10,0.03413032977213929,0.0044537089965463765,0.018125582521431406,0.0027890973510848343,0.015845929337992337,0.002506111051019236,1.0057193936661037,0.006225700196090654,0.6768667735137113,0.0003605259442870885,0.044155806613465146,0.009314473022191698,0.0024261713066759207,0.0003191557843465084,0.014712800395985442,0.0015908387755825455,,
C_beta_target,10,0.03508550950509599,0.006822915527589941,0.018804646728324544,0.0030717168728845896,0.016776321738135917,0.0026415072468661017,1.005514408379537,0.00853336959060407,0.6770478666346966,0.0004917148836057751,0.055200173581639936,0.018839745504309557,0.002468144672457129,0.00038119657952337025,0.01338151179564496,0.001641510666262057,0.004750701056949398,0.0006483269361090542
D_input_target_pid02,10,0.035932742299198614,0.007378661752828202,0.019411682541097493,0.006301438069174751,0.01758466751172617,0.005308992150897235,1.00603014325452,0.007760660194788735,0.6770737370805519,0.0003789656240096126,0.05828850697726011,0.012553877467136484,0.0024785259660954277,0.00035891324704470217,0.013947226696958142,0.0014954801382217906,0.004985524823146145,0.001116027789563648
A_original_pid1,10,0.024885907514597672,0.0013206157711775969,0.012935121983046713,0.0011441026622300645,0.01101765992450252,0.0011409495599517142,0.9941715893411178,0.0008858108023630845,0.677526154389773,0.0003190772202985313,0.04296786300837993,0.006873909954143322,0.0023427257391934594,0.00042459884740602967,0.01504346504807472,0.002303638740926913,,
B_beta_input_pid1,10,0.02492474509666078,0.001904841387140798,0.012828598675103973,0.0022357641517026824,0.011218891214047273,0.0019929749953990768,0.9942485901863396,0.0007833970883245726,0.6775286783357102,0.0003314057577901149,0.0403729165593783,0.005990994168305167,0.00219556800633048,0.00031726189003574194,0.01429730093417068,0.002120609929870605,,
D_input_target_pid1,10,0.02418298109933468,0.0015998731746513842,0.012022144239794998,0.00101880544698002,0.010675509568854604,0.001175180048428944,0.992933290425222,0.0013619054319702582,0.6775476079302383,0.00022972010228872075,0.050770512161155544,0.008895191603048806,0.0024061252091390393,0.0004128972903516168,0.013446786782393852,0.0016844513927152045,0.005335969412910127,0.0006665023382683905
