device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_102
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-4.11528 val_loss=-4.21576 val_nll=-5.65977 val_joint_nll=-4.93777 val_pid_acc=0.7379
epoch=48 train_loss=-4.11883 val_loss=-4.22504 val_nll=-5.66406 val_joint_nll=-4.94455 val_pid_acc=0.7394
epoch=49 train_loss=-4.12510 val_loss=-4.22789 val_nll=-5.66843 val_joint_nll=-4.94816 val_pid_acc=0.7382
epoch=50 train_loss=-4.12818 val_loss=-4.23205 val_nll=-5.67055 val_joint_nll=-4.95130 val_pid_acc=0.7388
epoch=51 train_loss=-4.13397 val_loss=-4.23593 val_nll=-5.67265 val_joint_nll=-4.95429 val_pid_acc=0.7391
epoch=52 train_loss=-4.13883 val_loss=-4.24088 val_nll=-5.67666 val_joint_nll=-4.95877 val_pid_acc=0.7390
epoch=53 train_loss=-4.14153 val_loss=-4.23852 val_nll=-5.67608 val_joint_nll=-4.95730 val_pid_acc=0.7391
epoch=54 train_loss=-4.14557 val_loss=-4.24946 val_nll=-5.68533 val_joint_nll=-4.96740 val_pid_acc=0.7394
epoch=55 train_loss=-4.15022 val_loss=-4.25206 val_nll=-5.68685 val_joint_nll=-4.96945 val_pid_acc=0.7397
epoch=56 train_loss=-4.15520 val_loss=-4.25488 val_nll=-5.68994 val_joint_nll=-4.97241 val_pid_acc=0.7398
epoch=57 train_loss=-4.15857 val_loss=-4.25627 val_nll=-5.69056 val_joint_nll=-4.97342 val_pid_acc=0.7395
epoch=58 train_loss=-4.16293 val_loss=-4.25882 val_nll=-5.69365 val_joint_nll=-4.97623 val_pid_acc=0.7395
epoch=59 train_loss=-4.16673 val_loss=-4.26192 val_nll=-5.69490 val_joint_nll=-4.97841 val_pid_acc=0.7401
epoch=60 train_loss=-4.16899 val_loss=-4.26731 val_nll=-5.70006 val_joint_nll=-4.98368 val_pid_acc=0.7397
epoch=61 train_loss=-4.17195 val_loss=-4.26898 val_nll=-5.70124 val_joint_nll=-4.98511 val_pid_acc=0.7401
epoch=62 train_loss=-4.17338 val_loss=-4.27335 val_nll=-5.70561 val_joint_nll=-4.98948 val_pid_acc=0.7398
