device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s28_405
loading deterministic, event-disjoint data splits...
loaded train=1,272,702, validation=158,175, test=158,364 in 5.26s
trainable_parameters=3,024,476
epoch=01 train_loss=2.24921 val_loss=-0.82843 val_nll=-2.92132 val_joint_nll=-1.87488 val_pid_acc=0.6751
epoch=02 train_loss=-0.52852 val_loss=-1.33941 val_nll=-3.39029 val_joint_nll=-2.36485 val_pid_acc=0.6759
epoch=03 train_loss=-1.08214 val_loss=-1.67870 val_nll=-3.70767 val_joint_nll=-2.69319 val_pid_acc=0.6756
epoch=04 train_loss=-1.32382 val_loss=-0.90226 val_nll=-2.91612 val_joint_nll=-1.90919 val_pid_acc=0.6760
epoch=05 train_loss=-1.62156 val_loss=-2.37797 val_nll=-4.38431 val_joint_nll=-3.38114 val_pid_acc=0.6763
epoch=06 train_loss=-2.01565 val_loss=-2.37288 val_nll=-4.38073 val_joint_nll=-3.37681 val_pid_acc=0.6753
epoch=07 train_loss=-2.22551 val_loss=-2.50129 val_nll=-4.50593 val_joint_nll=-3.50361 val_pid_acc=0.6759
epoch=08 train_loss=-2.40733 val_loss=-2.69256 val_nll=-4.69102 val_joint_nll=-3.69179 val_pid_acc=0.6753
epoch=09 train_loss=-2.50130 val_loss=-2.86601 val_nll=-4.85076 val_joint_nll=-3.85839 val_pid_acc=0.6766
epoch=10 train_loss=-2.65718 val_loss=-2.87488 val_nll=-4.85398 val_joint_nll=-3.86443 val_pid_acc=0.6771
epoch=11 train_loss=-2.71663 val_loss=-2.80310 val_nll=-4.78854 val_joint_nll=-3.79582 val_pid_acc=0.6778
epoch=12 train_loss=-2.78713 val_loss=-2.93484 val_nll=-4.91866 val_joint_nll=-3.92675 val_pid_acc=0.6762
epoch=13 train_loss=-2.83425 val_loss=-2.97649 val_nll=-4.95554 val_joint_nll=-3.96602 val_pid_acc=0.6770
epoch=14 train_loss=-2.87263 val_loss=-3.04489 val_nll=-5.02225 val_joint_nll=-4.03357 val_pid_acc=0.6767
epoch=15 train_loss=-2.93809 val_loss=-3.10456 val_nll=-5.07527 val_joint_nll=-4.08992 val_pid_acc=0.6786
epoch=16 train_loss=-2.96656 val_loss=-3.16585 val_nll=-5.13458 val_joint_nll=-4.15022 val_pid_acc=0.6780
epoch=17 train_loss=-3.02518 val_loss=-3.16293 val_nll=-5.12958 val_joint_nll=-4.14626 val_pid_acc=0.6781
epoch=18 train_loss=-3.06656 val_loss=-3.24848 val_nll=-5.17926 val_joint_nll=-4.21387 val_pid_acc=0.6806
epoch=19 train_loss=-3.25602 val_loss=-3.66700 val_nll=-5.32446 val_joint_nll=-4.49573 val_pid_acc=0.7078
