device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s28_406
loading deterministic, event-disjoint data splits...
loaded train=1,272,702, validation=158,175, test=158,364 in 5.38s
trainable_parameters=3,024,476
epoch=01 train_loss=2.26285 val_loss=-0.08850 val_nll=-2.16839 val_joint_nll=-1.12845 val_pid_acc=0.6757
epoch=02 train_loss=-0.60218 val_loss=-1.13365 val_nll=-3.16573 val_joint_nll=-2.14969 val_pid_acc=0.6751
epoch=03 train_loss=-1.12149 val_loss=-1.21154 val_nll=-3.22900 val_joint_nll=-2.22027 val_pid_acc=0.6756
epoch=04 train_loss=-1.39612 val_loss=-2.41420 val_nll=-4.41876 val_joint_nll=-3.41648 val_pid_acc=0.6761
epoch=05 train_loss=-1.74146 val_loss=-2.14716 val_nll=-4.15337 val_joint_nll=-3.15026 val_pid_acc=0.6762
epoch=06 train_loss=-2.07889 val_loss=-2.32004 val_nll=-4.31913 val_joint_nll=-3.31958 val_pid_acc=0.6769
epoch=07 train_loss=-2.09937 val_loss=-2.45031 val_nll=-4.44935 val_joint_nll=-3.44983 val_pid_acc=0.6766
epoch=08 train_loss=-2.31337 val_loss=-2.70343 val_nll=-4.69201 val_joint_nll=-3.69772 val_pid_acc=0.6769
epoch=09 train_loss=-2.49894 val_loss=-2.82537 val_nll=-4.81642 val_joint_nll=-3.82090 val_pid_acc=0.6768
epoch=10 train_loss=-2.64367 val_loss=-2.74955 val_nll=-4.73694 val_joint_nll=-3.74324 val_pid_acc=0.6761
epoch=11 train_loss=-2.73910 val_loss=-3.03744 val_nll=-5.02127 val_joint_nll=-4.02935 val_pid_acc=0.6768
epoch=12 train_loss=-2.83511 val_loss=-3.05099 val_nll=-5.03611 val_joint_nll=-4.04355 val_pid_acc=0.6761
epoch=13 train_loss=-2.91336 val_loss=-3.08243 val_nll=-5.06149 val_joint_nll=-4.07196 val_pid_acc=0.6768
epoch=14 train_loss=-2.96013 val_loss=-3.11891 val_nll=-5.09625 val_joint_nll=-4.10758 val_pid_acc=0.6770
epoch=15 train_loss=-3.01884 val_loss=-2.91505 val_nll=-4.90261 val_joint_nll=-3.90883 val_pid_acc=0.6772
epoch=16 train_loss=-3.03238 val_loss=-3.17676 val_nll=-5.15550 val_joint_nll=-4.16613 val_pid_acc=0.6767
epoch=17 train_loss=-3.08176 val_loss=-3.20361 val_nll=-5.17963 val_joint_nll=-4.19162 val_pid_acc=0.6775
epoch=18 train_loss=-3.09989 val_loss=-3.17235 val_nll=-5.14660 val_joint_nll=-4.15947 val_pid_acc=0.6772
epoch=19 train_loss=-3.10927 val_loss=-3.26241 val_nll=-5.23198 val_joint_nll=-4.24719 val_pid_acc=0.6780
epoch=20 train_loss=-3.13019 val_loss=-3.24372 val_nll=-5.21226 val_joint_nll=-4.22799 val_pid_acc=0.6787
epoch=21 train_loss=-3.15330 val_loss=-3.24951 val_nll=-5.21742 val_joint_nll=-4.23347 val_pid_acc=0.6783
epoch=22 train_loss=-3.16802 val_loss=-3.29681 val_nll=-5.26408 val_joint_nll=-4.28045 val_pid_acc=0.6784
epoch=23 train_loss=-3.18041 val_loss=-3.27803 val_nll=-5.24603 val_joint_nll=-4.26203 val_pid_acc=0.6780
epoch=24 train_loss=-3.19303 val_loss=-3.27717 val_nll=-5.24586 val_joint_nll=-4.26151 val_pid_acc=0.6778
epoch=25 train_loss=-3.20112 val_loss=-3.31385 val_nll=-5.27972 val_joint_nll=-4.29679 val_pid_acc=0.6786
epoch=26 train_loss=-3.21333 val_loss=-3.29666 val_nll=-5.26497 val_joint_nll=-4.28082 val_pid_acc=0.6778
epoch=27 train_loss=-3.21639 val_loss=-3.31440 val_nll=-5.27831 val_joint_nll=-4.29635 val_pid_acc=0.6788
epoch=28 train_loss=-3.22724 val_loss=-3.30676 val_nll=-5.27276 val_joint_nll=-4.28976 val_pid_acc=0.6779
epoch=29 train_loss=-3.23093 val_loss=-3.32669 val_nll=-5.29071 val_joint_nll=-4.30870 val_pid_acc=0.6787
epoch=30 train_loss=-3.23863 val_loss=-3.31354 val_nll=-5.28000 val_joint_nll=-4.29677 val_pid_acc=0.6780
epoch=31 train_loss=-3.24421 val_loss=-3.31338 val_nll=-5.27951 val_joint_nll=-4.29645 val_pid_acc=0.6784
epoch=32 train_loss=-3.25305 val_loss=-3.32918 val_nll=-5.29325 val_joint_nll=-4.31122 val_pid_acc=0.6786
