device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pid_decoupled_20260825
loading deterministic, event-disjoint data splits...
loaded train=1,271,345, validation=158,654, test=159,242 in 5.20s
trainable_parameters=3,024,476
epoch=01 train_loss=1.58580 val_loss=-0.98210 val_nll=-3.05226 val_joint_nll=-2.01718 val_pid_acc=0.6741
epoch=02 train_loss=-0.50072 val_loss=-1.64073 val_nll=-3.69564 val_joint_nll=-2.66819 val_pid_acc=0.6755
epoch=03 train_loss=-0.99038 val_loss=-0.96501 val_nll=-3.02442 val_joint_nll=-1.99471 val_pid_acc=0.6752
epoch=04 train_loss=-1.20416 val_loss=-1.82094 val_nll=-3.84167 val_joint_nll=-2.83130 val_pid_acc=0.6761
epoch=05 train_loss=-1.39402 val_loss=-1.38578 val_nll=-3.45747 val_joint_nll=-2.42163 val_pid_acc=0.6761
epoch=06 train_loss=-1.39898 val_loss=-1.28752 val_nll=-3.31460 val_joint_nll=-2.30106 val_pid_acc=0.6758
epoch=07 train_loss=-1.78974 val_loss=-2.26695 val_nll=-4.28338 val_joint_nll=-3.27516 val_pid_acc=0.6763
epoch=08 train_loss=-1.73819 val_loss=-1.27381 val_nll=-3.28250 val_joint_nll=-2.27816 val_pid_acc=0.6764
epoch=09 train_loss=-1.98509 val_loss=-2.19295 val_nll=-4.23126 val_joint_nll=-3.21210 val_pid_acc=0.6762
epoch=10 train_loss=-1.98431 val_loss=-2.22839 val_nll=-4.29655 val_joint_nll=-3.26247 val_pid_acc=0.6697
epoch=11 train_loss=-2.40516 val_loss=-2.79939 val_nll=-4.79825 val_joint_nll=-3.79882 val_pid_acc=0.6768
epoch=12 train_loss=-2.63154 val_loss=-2.91138 val_nll=-4.90631 val_joint_nll=-3.90884 val_pid_acc=0.6771
epoch=13 train_loss=-2.83693 val_loss=-2.96258 val_nll=-4.95459 val_joint_nll=-3.95858 val_pid_acc=0.6770
epoch=14 train_loss=-2.93729 val_loss=-3.01370 val_nll=-4.99647 val_joint_nll=-4.00508 val_pid_acc=0.6771
epoch=15 train_loss=-2.96658 val_loss=-3.00190 val_nll=-4.98867 val_joint_nll=-3.99529 val_pid_acc=0.6774
epoch=16 train_loss=-3.02285 val_loss=-3.04382 val_nll=-5.02855 val_joint_nll=-4.03618 val_pid_acc=0.6761
epoch=17 train_loss=-3.06489 val_loss=-3.19419 val_nll=-5.17154 val_joint_nll=-4.18287 val_pid_acc=0.6771
epoch=18 train_loss=-3.10585 val_loss=-3.19877 val_nll=-5.17314 val_joint_nll=-4.18595 val_pid_acc=0.6780
epoch=19 train_loss=-3.13877 val_loss=-3.19498 val_nll=-5.17101 val_joint_nll=-4.18300 val_pid_acc=0.6774
epoch=20 train_loss=-3.16243 val_loss=-3.22961 val_nll=-5.20600 val_joint_nll=-4.21780 val_pid_acc=0.6769
epoch=21 train_loss=-3.19623 val_loss=-3.25107 val_nll=-5.22256 val_joint_nll=-4.23681 val_pid_acc=0.6783
epoch=22 train_loss=-3.20810 val_loss=-3.27064 val_nll=-5.24342 val_joint_nll=-4.25703 val_pid_acc=0.6782
epoch=23 train_loss=-3.23311 val_loss=-3.26932 val_nll=-5.24574 val_joint_nll=-4.25753 val_pid_acc=0.6777
epoch=24 train_loss=-3.24453 val_loss=-3.30057 val_nll=-5.27231 val_joint_nll=-4.28644 val_pid_acc=0.6773
epoch=25 train_loss=-3.25454 val_loss=-3.31395 val_nll=-5.28381 val_joint_nll=-4.29888 val_pid_acc=0.6783
epoch=26 train_loss=-3.26081 val_loss=-3.29135 val_nll=-5.26178 val_joint_nll=-4.27656 val_pid_acc=0.6784
epoch=27 train_loss=-3.27201 val_loss=-3.32388 val_nll=-5.29387 val_joint_nll=-4.30888 val_pid_acc=0.6783
epoch=28 train_loss=-3.27756 val_loss=-3.32138 val_nll=-5.29101 val_joint_nll=-4.30619 val_pid_acc=0.6774
epoch=29 train_loss=-3.28742 val_loss=-3.32043 val_nll=-5.29066 val_joint_nll=-4.30554 val_pid_acc=0.6787
epoch=30 train_loss=-3.29248 val_loss=-3.32495 val_nll=-5.29369 val_joint_nll=-4.30932 val_pid_acc=0.6783
epoch=31 train_loss=-3.29653 val_loss=-3.33675 val_nll=-5.30460 val_joint_nll=-4.32068 val_pid_acc=0.6785
epoch=32 train_loss=-3.30399 val_loss=-3.33301 val_nll=-5.29949 val_joint_nll=-4.31625 val_pid_acc=0.6790
epoch=33 train_loss=-3.30488 val_loss=-3.33456 val_nll=-5.30156 val_joint_nll=-4.31806 val_pid_acc=0.6788
epoch=34 train_loss=-3.30824 val_loss=-3.33192 val_nll=-5.29894 val_joint_nll=-4.31543 val_pid_acc=0.6787
epoch=35 train_loss=-3.31341 val_loss=-3.33821 val_nll=-5.30349 val_joint_nll=-4.32085 val_pid_acc=0.6788
epoch=36 train_loss=-3.31700 val_loss=-3.35255 val_nll=-5.31859 val_joint_nll=-4.33557 val_pid_acc=0.6787
epoch=37 train_loss=-3.31977 val_loss=-3.35715 val_nll=-5.32477 val_joint_nll=-4.34096 val_pid_acc=0.6789
epoch=38 train_loss=-3.32419 val_loss=-3.35749 val_nll=-5.32249 val_joint_nll=-4.33999 val_pid_acc=0.6790
epoch=39 train_loss=-3.32854 val_loss=-3.36438 val_nll=-5.32961 val_joint_nll=-4.34699 val_pid_acc=0.6791
epoch=40 train_loss=-3.33045 val_loss=-3.34896 val_nll=-5.31507 val_joint_nll=-4.33202 val_pid_acc=0.6787
epoch=41 train_loss=-3.33234 val_loss=-3.36282 val_nll=-5.32721 val_joint_nll=-4.34502 val_pid_acc=0.6790
