device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pidweight_warmup_20260824
loading deterministic, event-disjoint data splits...
loaded train=1,270,674, validation=159,300, test=159,267 in 5.48s
trainable_parameters=3,024,476
epoch=01 train_loss=4.67169 val_loss=-0.50632 val_nll=-2.68727 val_joint_nll=-1.59680 val_pid_acc=0.6718
epoch=02 train_loss=-0.42219 val_loss=-1.33979 val_nll=-3.42921 val_joint_nll=-2.38450 val_pid_acc=0.6722
epoch=03 train_loss=-1.24820 val_loss=-1.45849 val_nll=-3.52712 val_joint_nll=-2.49281 val_pid_acc=0.6719
epoch=04 train_loss=-1.32791 val_loss=-0.88471 val_nll=-2.94812 val_joint_nll=-1.91642 val_pid_acc=0.6731
epoch=05 train_loss=-1.45898 val_loss=-1.02956 val_nll=-3.06599 val_joint_nll=-2.04777 val_pid_acc=0.6731
epoch=06 train_loss=-1.61398 val_loss=-1.63247 val_nll=-3.65641 val_joint_nll=-2.64444 val_pid_acc=0.6737
epoch=07 train_loss=-1.80827 val_loss=-1.41611 val_nll=-3.44200 val_joint_nll=-2.42906 val_pid_acc=0.6729
epoch=08 train_loss=-1.97123 val_loss=-1.22861 val_nll=-3.24743 val_joint_nll=-2.23802 val_pid_acc=0.6736
epoch=09 train_loss=-2.06811 val_loss=-1.99616 val_nll=-4.00787 val_joint_nll=-3.00201 val_pid_acc=0.6741
epoch=10 train_loss=-2.16706 val_loss=0.03378 val_nll=-1.97756 val_joint_nll=-0.97189 val_pid_acc=0.6735
epoch=11 train_loss=-2.25231 val_loss=-1.65602 val_nll=-3.68261 val_joint_nll=-2.66932 val_pid_acc=0.6729
epoch=12 train_loss=-2.26054 val_loss=-1.36837 val_nll=-3.39185 val_joint_nll=-2.38011 val_pid_acc=0.6742
epoch=13 train_loss=-2.43454 val_loss=-1.66010 val_nll=-3.66244 val_joint_nll=-2.66127 val_pid_acc=0.6740
epoch=14 train_loss=-2.49034 val_loss=-1.83387 val_nll=-3.83586 val_joint_nll=-2.83486 val_pid_acc=0.6740
epoch=15 train_loss=-2.60567 val_loss=-1.81478 val_nll=-3.81535 val_joint_nll=-2.81507 val_pid_acc=0.6741
epoch=16 train_loss=-2.59044 val_loss=-1.86082 val_nll=-3.86470 val_joint_nll=-2.86276 val_pid_acc=0.6732
epoch=17 train_loss=-2.67260 val_loss=-1.65451 val_nll=-3.65498 val_joint_nll=-2.65475 val_pid_acc=0.6743
epoch=18 train_loss=-2.68393 val_loss=-2.09918 val_nll=-4.09734 val_joint_nll=-3.09826 val_pid_acc=0.6734
epoch=19 train_loss=-2.74115 val_loss=-2.09910 val_nll=-4.09637 val_joint_nll=-3.09773 val_pid_acc=0.6736
epoch=20 train_loss=-2.78029 val_loss=-2.06519 val_nll=-4.06171 val_joint_nll=-3.06345 val_pid_acc=0.6737
epoch=21 train_loss=-2.79007 val_loss=-2.10682 val_nll=-4.09945 val_joint_nll=-3.10313 val_pid_acc=0.6747
epoch=22 train_loss=-2.84382 val_loss=-2.15824 val_nll=-4.15080 val_joint_nll=-3.15452 val_pid_acc=0.6749
epoch=23 train_loss=-2.81691 val_loss=-2.19302 val_nll=-4.19028 val_joint_nll=-3.19165 val_pid_acc=0.6738
epoch=24 train_loss=-2.92609 val_loss=-2.29269 val_nll=-4.28426 val_joint_nll=-3.28847 val_pid_acc=0.6738
epoch=25 train_loss=-2.81622 val_loss=-2.56834 val_nll=-4.56035 val_joint_nll=-3.56435 val_pid_acc=0.6739
epoch=26 train_loss=-2.95036 val_loss=-2.15138 val_nll=-4.14668 val_joint_nll=-3.14903 val_pid_acc=0.6748
epoch=27 train_loss=-2.93426 val_loss=-2.40850 val_nll=-4.40295 val_joint_nll=-3.40572 val_pid_acc=0.6727
epoch=28 train_loss=-2.99786 val_loss=-2.31693 val_nll=-4.30762 val_joint_nll=-3.31228 val_pid_acc=0.6738
epoch=29 train_loss=-2.98070 val_loss=-2.57291 val_nll=-4.55915 val_joint_nll=-3.56603 val_pid_acc=0.6745
epoch=30 train_loss=-3.04072 val_loss=-2.44115 val_nll=-4.42545 val_joint_nll=-3.43330 val_pid_acc=0.6749
epoch=31 train_loss=-3.05873 val_loss=-2.50680 val_nll=-4.49324 val_joint_nll=-3.50002 val_pid_acc=0.6754
epoch=32 train_loss=-3.06093 val_loss=-2.16090 val_nll=-4.16006 val_joint_nll=-3.16048 val_pid_acc=0.6733
epoch=33 train_loss=-3.09093 val_loss=-2.57309 val_nll=-4.55756 val_joint_nll=-3.56533 val_pid_acc=0.6749
epoch=34 train_loss=-3.11343 val_loss=-2.65856 val_nll=-4.64058 val_joint_nll=-3.64957 val_pid_acc=0.6751
epoch=35 train_loss=-3.12978 val_loss=-2.69502 val_nll=-4.67907 val_joint_nll=-3.68704 val_pid_acc=0.6752
epoch=36 train_loss=-3.15333 val_loss=-2.73450 val_nll=-4.71997 val_joint_nll=-3.72723 val_pid_acc=0.6747
epoch=37 train_loss=-3.16237 val_loss=-2.81231 val_nll=-4.79374 val_joint_nll=-3.80302 val_pid_acc=0.6748
epoch=38 train_loss=-3.17478 val_loss=-2.89431 val_nll=-4.87330 val_joint_nll=-3.88381 val_pid_acc=0.6755
epoch=39 train_loss=-3.18784 val_loss=-2.89216 val_nll=-4.87179 val_joint_nll=-3.88198 val_pid_acc=0.6753
epoch=40 train_loss=-3.19670 val_loss=-2.85332 val_nll=-4.83313 val_joint_nll=-3.84323 val_pid_acc=0.6748
epoch=41 train_loss=-3.20862 val_loss=-2.86557 val_nll=-4.84912 val_joint_nll=-3.85734 val_pid_acc=0.6755
epoch=42 train_loss=-3.19424 val_loss=-2.89057 val_nll=-4.87248 val_joint_nll=-3.88152 val_pid_acc=0.6740
epoch=43 train_loss=-3.21881 val_loss=-2.85059 val_nll=-4.82937 val_joint_nll=-3.83998 val_pid_acc=0.6748
epoch=44 train_loss=-3.22682 val_loss=-2.97146 val_nll=-4.94931 val_joint_nll=-3.96038 val_pid_acc=0.6756
epoch=45 train_loss=-3.23618 val_loss=-2.91336 val_nll=-4.88846 val_joint_nll=-3.90091 val_pid_acc=0.6754
epoch=46 train_loss=-3.23684 val_loss=-2.95323 val_nll=-4.92944 val_joint_nll=-3.94133 val_pid_acc=0.6753
epoch=47 train_loss=-3.24602 val_loss=-2.94847 val_nll=-4.92298 val_joint_nll=-3.93572 val_pid_acc=0.6760
epoch=48 train_loss=-3.25656 val_loss=-2.95560 val_nll=-4.93300 val_joint_nll=-3.94430 val_pid_acc=0.6750
epoch=49 train_loss=-3.26468 val_loss=-2.96365 val_nll=-4.93930 val_joint_nll=-3.95147 val_pid_acc=0.6755
epoch=50 train_loss=-3.27139 val_loss=-2.99092 val_nll=-4.96593 val_joint_nll=-3.97842 val_pid_acc=0.6758
epoch=51 train_loss=-3.27571 val_loss=-2.95510 val_nll=-4.92886 val_joint_nll=-3.94198 val_pid_acc=0.6762
epoch=52 train_loss=-3.28085 val_loss=-2.98718 val_nll=-4.96235 val_joint_nll=-3.97476 val_pid_acc=0.6756
epoch=53 train_loss=-3.28724 val_loss=-2.98354 val_nll=-4.95821 val_joint_nll=-3.97087 val_pid_acc=0.6758
epoch=54 train_loss=-3.29244 val_loss=-2.99956 val_nll=-4.97321 val_joint_nll=-3.98639 val_pid_acc=0.6761
epoch=55 train_loss=-3.29677 val_loss=-2.99544 val_nll=-4.96863 val_joint_nll=-3.98203 val_pid_acc=0.6758
epoch=56 train_loss=-3.29995 val_loss=-2.98478 val_nll=-4.95864 val_joint_nll=-3.97171 val_pid_acc=0.6760
epoch=57 train_loss=-3.30485 val_loss=-3.01158 val_nll=-4.98500 val_joint_nll=-3.99829 val_pid_acc=0.6759
epoch=58 train_loss=-3.30988 val_loss=-3.00587 val_nll=-4.97954 val_joint_nll=-3.99271 val_pid_acc=0.6758
epoch=59 train_loss=-3.31315 val_loss=-3.01065 val_nll=-4.98362 val_joint_nll=-3.99714 val_pid_acc=0.6762
epoch=60 train_loss=-3.31492 val_loss=-3.00317 val_nll=-4.97571 val_joint_nll=-3.98944 val_pid_acc=0.6759
epoch=61 train_loss=-3.31931 val_loss=-2.99885 val_nll=-4.97136 val_joint_nll=-3.98510 val_pid_acc=0.6760
epoch=62 train_loss=-3.32254 val_loss=-3.01314 val_nll=-4.98615 val_joint_nll=-3.99964 val_pid_acc=0.6758
epoch=63 train_loss=-3.32544 val_loss=-3.01197 val_nll=-4.98430 val_joint_nll=-3.99814 val_pid_acc=0.6762
epoch=64 train_loss=-3.32803 val_loss=-3.00123 val_nll=-4.97337 val_joint_nll=-3.98730 val_pid_acc=0.6761
epoch=65 train_loss=-3.32943 val_loss=-3.00862 val_nll=-4.98079 val_joint_nll=-3.99470 val_pid_acc=0.6760
epoch=66 train_loss=-3.33167 val_loss=-3.01395 val_nll=-4.98596 val_joint_nll=-3.99996 val_pid_acc=0.6760
epoch=67 train_loss=-3.33302 val_loss=-3.00843 val_nll=-4.98038 val_joint_nll=-3.99440 val_pid_acc=0.6761
epoch=68 train_loss=-3.33326 val_loss=-3.00677 val_nll=-4.97877 val_joint_nll=-3.99277 val_pid_acc=0.6760
epoch=69 train_loss=-3.33521 val_loss=-3.01881 val_nll=-4.99060 val_joint_nll=-4.00471 val_pid_acc=0.6761
epoch=70 train_loss=-3.33598 val_loss=-3.01647 val_nll=-4.98833 val_joint_nll=-4.00240 val_pid_acc=0.6762
test_nll=-4.993504
test_pid_accuracy=0.6784
