generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,46244,0.5486982094974483,0.5542858242988586
211,pi+,56817,0.5877994262280656,0.5885836482048035
2212,proton,56206,0.8132939543820944,0.8179727792739868
