device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_203
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-4.10352 val_loss=-4.17612 val_nll=-5.62453 val_joint_nll=-4.90032 val_pid_acc=0.7368
epoch=48 train_loss=-4.10946 val_loss=-4.17913 val_nll=-5.62885 val_joint_nll=-4.90399 val_pid_acc=0.7365
epoch=49 train_loss=-4.11333 val_loss=-4.17623 val_nll=-5.62435 val_joint_nll=-4.90029 val_pid_acc=0.7366
epoch=50 train_loss=-4.11677 val_loss=-4.18052 val_nll=-5.62811 val_joint_nll=-4.90432 val_pid_acc=0.7369
epoch=51 train_loss=-4.12172 val_loss=-4.18721 val_nll=-5.63484 val_joint_nll=-4.91103 val_pid_acc=0.7368
epoch=52 train_loss=-4.12614 val_loss=-4.19546 val_nll=-5.64057 val_joint_nll=-4.91802 val_pid_acc=0.7378
epoch=53 train_loss=-4.12998 val_loss=-4.19394 val_nll=-5.64040 val_joint_nll=-4.91717 val_pid_acc=0.7372
epoch=54 train_loss=-4.13372 val_loss=-4.20193 val_nll=-5.64686 val_joint_nll=-4.92439 val_pid_acc=0.7375
epoch=55 train_loss=-4.13776 val_loss=-4.20587 val_nll=-5.64900 val_joint_nll=-4.92743 val_pid_acc=0.7381
epoch=56 train_loss=-4.14147 val_loss=-4.20237 val_nll=-5.64587 val_joint_nll=-4.92412 val_pid_acc=0.7380
epoch=57 train_loss=-4.14411 val_loss=-4.20804 val_nll=-5.65163 val_joint_nll=-4.92983 val_pid_acc=0.7380
epoch=58 train_loss=-4.14638 val_loss=-4.21005 val_nll=-5.65240 val_joint_nll=-4.93123 val_pid_acc=0.7382
epoch=59 train_loss=-4.14996 val_loss=-4.21350 val_nll=-5.65583 val_joint_nll=-4.93467 val_pid_acc=0.7381
epoch=60 train_loss=-4.15357 val_loss=-4.21637 val_nll=-5.65782 val_joint_nll=-4.93709 val_pid_acc=0.7383
epoch=61 train_loss=-4.15569 val_loss=-4.21603 val_nll=-5.65693 val_joint_nll=-4.93648 val_pid_acc=0.7382
epoch=62 train_loss=-4.15766 val_loss=-4.21783 val_nll=-5.65910 val_joint_nll=-4.93847 val_pid_acc=0.7384
epoch=63 train_loss=-4.15923 val_loss=-4.21991 val_nll=-5.66107 val_joint_nll=-4.94049 val_pid_acc=0.7383
