generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1551,-2212,2,0.0012894906511927789,0.0009112195104176987,0.0014508802813670194,3.697068564719093e-05,0.00016138963017424054,0.00016138963017424054
-211,pi-,0,0.0,1.0,False,1551,-321,15,0.009671179883945842,0.00248498367875662,0.006670869648927795,0.00014814736787988633,-0.0030003102350180475,0.0030003102350180475
-211,pi-,0,0.0,1.0,False,1551,-211,812,0.5235332043842682,0.012681847810501523,0.5267108997661001,0.010814524258074582,0.00317769538183188,0.00317769538183188
-211,pi-,0,0.0,1.0,False,1551,-11,0,0.0,0.0,2.3155658588273863e-05,1.460720522311646e-06,2.3155658588273863e-05,2.3155658588273863e-05
-211,pi-,0,0.0,1.0,False,1551,11,1,0.0006447453255963894,0.000644537443815846,0.0009645574615758076,2.132381798892248e-05,0.0003198121359794182,0.0003198121359794182
-211,pi-,0,0.0,1.0,False,1551,22,141,0.09090909090909091,0.0072996395563475714,0.09822260595372921,0.002579857173846823,0.0073135150446383,0.0073135150446383
-211,pi-,0,0.0,1.0,False,1551,45,0,0.0,0.0,0.0001652309631183736,1.3276616882879486e-05,0.0001652309631183736,0.0001652309631183736
-211,pi-,0,0.0,1.0,False,1551,211,1,0.0006447453255963894,0.000644537443815846,0.0008526002120426445,0.00011290431823453883,0.0002078548864462551,0.0002078548864462551
-211,pi-,0,0.0,1.0,False,1551,321,0,0.0,0.0,0.00016833110179695894,5.8829250158977014e-06,0.00016833110179695894,0.00016833110179695894
-211,pi-,0,0.0,1.0,False,1551,2112,570,0.36750483558994196,0.012242052420177866,0.35529137719098325,0.009864238958714588,-0.01221345839895871,0.01221345839895871
-211,pi-,0,0.0,1.0,False,1551,2212,9,0.005802707930367505,0.0019286159088033733,0.009479455732942219,0.0009791132530752036,0.0036767478025747135,0.0036767478025747135
-211,pi-,0,0.0,1.0,False,1551,OTHER,0,0.0,0.0,3.5488003165378475e-08,6.383059437244477e-10,3.5488003165378475e-08,3.5488003165378475e-08
-211,pi-,1,1.0,2.0,False,5686,-2212,64,0.011255715793176222,0.0013990238704948777,0.012369120271154254,0.00011600726414526133,0.0011134044779780323,0.0011134044779780323
-211,pi-,1,1.0,2.0,False,5686,-321,134,0.023566654941962716,0.0020117168097994343,0.02094072300523851,0.00014633850682138565,-0.0026259319367242066,0.0026259319367242066
-211,pi-,1,1.0,2.0,False,5686,-211,4126,0.7256419275413296,0.00591720516907389,0.7289117293159048,0.004093482502523457,0.003269801774575143,0.003269801774575143
-211,pi-,1,1.0,2.0,False,5686,-11,1,0.00017587055926837847,0.00017585509336154047,3.961154320707842e-05,1.0868320587013504e-06,-0.00013625901606130003,0.00013625901606130003
-211,pi-,1,1.0,2.0,False,5686,11,8,0.0014069644741470278,0.0004970869989686983,0.0009317444363255367,5.228983281378384e-06,-0.0004752200378214911,0.0004752200378214911
-211,pi-,1,1.0,2.0,False,5686,22,546,0.09602532536053465,0.003907217593491238,0.09431864523220411,0.0013825076529255906,-0.0017066801283305427,0.0017066801283305427
-211,pi-,1,1.0,2.0,False,5686,45,1,0.00017587055926837847,0.00017585509336154047,0.00029773940770282125,1.3007032512188565e-05,0.00012186884843444278,0.00012186884843444278
-211,pi-,1,1.0,2.0,False,5686,211,13,0.0022863172704889203,0.0006333850157937714,0.003212919430515785,0.00018795777014047406,0.0009266021600268649,0.0009266021600268649
-211,pi-,1,1.0,2.0,False,5686,321,0,0.0,0.0,0.0003031154832841163,8.291300769050356e-06,0.0003031154832841163,0.0003031154832841163
-211,pi-,1,1.0,2.0,False,5686,2112,723,0.12715441435103764,0.0044180538316296375,0.12553897588977322,0.002889544155247087,-0.0016154384612644124,0.0016154384612644124
-211,pi-,1,1.0,2.0,False,5686,2212,70,0.012310939148786493,0.0014623532227041138,0.01313561259526409,0.0007607848029095172,0.0008246734464775959,0.0008246734464775959
