generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,observed_mean,sampled_mean,absolute_mean_difference,observed_std,sampled_std,std_ratio,observed_q05,sampled_q05,observed_median,sampled_median,observed_q95,sampled_q95,wasserstein_1d,observed_in_training_domain_fraction,sampled_in_training_domain_fraction
-211,pi-,0,0.0,1.0,False,1551,0.8939560668883145,0.8907208650481907,0.0032352018401238247,0.1353076781069782,0.13735877251035156,1.0151587436283676,0.5878106464554502,0.5802054203283347,0.9721636801818725,0.9731755202344794,0.9923664930058536,0.9924688101406818,0.004599560333974759,1.0,1.0
-211,pi-,1,1.0,2.0,False,5686,0.954754126259754,0.9555167392892303,0.0007626130294763334,0.10001810946769915,0.09798952237631589,0.9797178020842476,0.7275421514196858,0.7154832223330978,0.9930073912460624,0.9929197537854055,1.0012979213687931,1.001913398910411,0.0018621555992324108,1.0,0.9996482588814632
-211,pi-,2,2.0,3.0,False,6562,0.9569731018205924,0.9588055800677165,0.0018324782471241807,0.0987156682484703,0.09794001374878293,0.9921425391384169,0.7255686222309434,0.7201152983998571,0.9960406119512624,0.9962841505094537,1.0041626269732038,1.0050991271388596,0.0031040355607893913,1.0,0.9992380371837855
-211,pi-,3,3.0,4.0,False,6996,0.9624650208060755,0.9633742498016244,0.0009092289955489052,0.09642820168659579,0.09173917348628381,0.951372854431612,0.7578651292926125,0.7527795056385009,0.9969582267316235,0.9969135801461761,1.0050720282145176,1.0059566412484349,0.0025748935156640605,1.0,0.9995711835334476
-211,pi-,4,4.0,5.0,False,7120,0.9674138788789702,0.9672084073927717,0.0002054714861985385,0.08633150409226528,0.08714726299470578,1.0094491450255363,0.7900770590136008,0.7865155232621993,0.9973303082107698,0.9975246552271566,1.0055805093406112,1.0067075181597926,0.002879413500946697,1.0,0.9995786516853933
-211,pi-,5,5.0,6.0,False,6370,0.9675164528166427,0.9675962506783397,7.979786169698411e-05,0.08654239779402981,0.08853392076261295,1.0230121075836487,0.7918915476607657,0.7826178425757039,0.9974557751816334,0.9974449376901429,1.0057748911448523,1.0072157914933475,0.002491668282376842,1.0,0.9985871271585557
-211,pi-,6,6.0,7.0,False,6084,0.9739205785731812,0.9743900357401094,0.00046945716692825545,0.07912590681295377,0.07758756369256208,0.9805582876411364,0.8286887724634899,0.8090804476461905,0.9979447425166414,0.99795754661125,1.006238431054023,1.0076036462228029,0.0027681200262549316,1.0,0.9995069033530573
-211,pi-,7,7.0,8.0,False,4235,0.9741029805572142,0.9743955946622168,0.00029261410500258656,0.07665311525752265,0.07398948086865885,0.9652508005719651,0.8300064439300084,0.812728815080214,0.9980062241963348,0.9981010389088596,1.0060152760050738,1.0077183554619449,0.004057531660782091,1.0,0.9995277449822905
-211,pi-,8,8.0,9.0,True,1213,0.9531035985002418,0.9574002697776899,0.004296671277448039,0.10107955949731381,0.10196582182792385,1.0087679678761718,0.735769669338706,0.7283488690721341,0.9961702246571342,0.9970208792305012,1.0061059955162661,1.0144099605558674,0.007632943236784975,1.0,0.9975267930750206
211,pi+,0,0.0,1.0,False,3116,0.9684124133122777,0.9692686852524356,0.0008562719401579155,0.06921330111946966,0.06864313269005247,0.9917621552476883,0.9457406378383297,0.9385880050249933,0.9821154181690992,0.9822475090248894,0.9943957753417694,0.994744085725253,0.002122862884232211,1.0,0.9993581514762516
