device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pid_decoupled_20260823
loading deterministic, event-disjoint data splits...
epoch=47 train_loss=-3.33816 val_loss=-3.34637 val_nll=-5.31185 val_joint_nll=-4.32911 val_pid_acc=0.6781
epoch=48 train_loss=-3.34078 val_loss=-3.34111 val_nll=-5.30698 val_joint_nll=-4.32404 val_pid_acc=0.6779
epoch=49 train_loss=-3.34390 val_loss=-3.34776 val_nll=-5.31400 val_joint_nll=-4.33088 val_pid_acc=0.6780
epoch=50 train_loss=-3.34535 val_loss=-3.34403 val_nll=-5.30896 val_joint_nll=-4.32649 val_pid_acc=0.6784
epoch=51 train_loss=-3.34779 val_loss=-3.34472 val_nll=-5.31012 val_joint_nll=-4.32742 val_pid_acc=0.6782
epoch=52 train_loss=-3.34783 val_loss=-3.34534 val_nll=-5.31096 val_joint_nll=-4.32815 val_pid_acc=0.6780
epoch=53 train_loss=-3.35065 val_loss=-3.34984 val_nll=-5.31515 val_joint_nll=-4.33249 val_pid_acc=0.6782
epoch=54 train_loss=-3.35312 val_loss=-3.35087 val_nll=-5.31662 val_joint_nll=-4.33375 val_pid_acc=0.6782
epoch=55 train_loss=-3.35458 val_loss=-3.35157 val_nll=-5.31629 val_joint_nll=-4.33393 val_pid_acc=0.6782
epoch=56 train_loss=-3.35563 val_loss=-3.34971 val_nll=-5.31493 val_joint_nll=-4.33232 val_pid_acc=0.6781
epoch=57 train_loss=-3.35789 val_loss=-3.35369 val_nll=-5.31841 val_joint_nll=-4.33605 val_pid_acc=0.6782
epoch=58 train_loss=-3.35975 val_loss=-3.35457 val_nll=-5.31932 val_joint_nll=-4.33695 val_pid_acc=0.6782
epoch=59 train_loss=-3.36080 val_loss=-3.35789 val_nll=-5.32222 val_joint_nll=-4.34006 val_pid_acc=0.6782
epoch=60 train_loss=-3.36160 val_loss=-3.35784 val_nll=-5.32327 val_joint_nll=-4.34056 val_pid_acc=0.6780
epoch=61 train_loss=-3.36255 val_loss=-3.35994 val_nll=-5.32441 val_joint_nll=-4.34217 val_pid_acc=0.6782
epoch=62 train_loss=-3.36407 val_loss=-3.35690 val_nll=-5.32152 val_joint_nll=-4.33921 val_pid_acc=0.6782
epoch=63 train_loss=-3.36485 val_loss=-3.36107 val_nll=-5.32518 val_joint_nll=-4.34312 val_pid_acc=0.6783
epoch=64 train_loss=-3.36661 val_loss=-3.36006 val_nll=-5.32463 val_joint_nll=-4.34235 val_pid_acc=0.6783
epoch=65 train_loss=-3.36681 val_loss=-3.36273 val_nll=-5.32704 val_joint_nll=-4.34489 val_pid_acc=0.6782
epoch=66 train_loss=-3.36853 val_loss=-3.36209 val_nll=-5.32619 val_joint_nll=-4.34414 val_pid_acc=0.6783
epoch=67 train_loss=-3.36830 val_loss=-3.36326 val_nll=-5.32755 val_joint_nll=-4.34541 val_pid_acc=0.6783
epoch=68 train_loss=-3.36921 val_loss=-3.36361 val_nll=-5.32798 val_joint_nll=-4.34579 val_pid_acc=0.6782
epoch=69 train_loss=-3.36965 val_loss=-3.36344 val_nll=-5.32772 val_joint_nll=-4.34558 val_pid_acc=0.6784
epoch=70 train_loss=-3.36935 val_loss=-3.36369 val_nll=-5.32789 val_joint_nll=-4.34579 val_pid_acc=0.6782
test_nll=-5.371373
test_pid_accuracy=0.6796
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pid_decoupled_20260823/model.pt
