device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_202
loading deterministic, event-disjoint data splits...
loaded train=1,271,243, validation=159,550, test=158,448 in 5.46s
trainable_parameters=3,024,476
epoch=01 train_loss=2.01301 val_loss=-0.95461 val_nll=-3.03447 val_joint_nll=-1.99454 val_pid_acc=0.6749
epoch=02 train_loss=-0.63779 val_loss=-1.69642 val_nll=-3.73357 val_joint_nll=-2.71500 val_pid_acc=0.6751
epoch=03 train_loss=-1.08039 val_loss=-1.14811 val_nll=-3.18975 val_joint_nll=-2.16893 val_pid_acc=0.6735
epoch=04 train_loss=-0.98026 val_loss=-1.19217 val_nll=-3.21735 val_joint_nll=-2.20476 val_pid_acc=0.6750
epoch=05 train_loss=-1.71184 val_loss=-2.20466 val_nll=-4.21637 val_joint_nll=-3.21052 val_pid_acc=0.6753
epoch=06 train_loss=-2.11389 val_loss=-2.25431 val_nll=-4.26263 val_joint_nll=-3.25847 val_pid_acc=0.6756
epoch=07 train_loss=-2.31444 val_loss=-2.27960 val_nll=-4.30215 val_joint_nll=-3.29088 val_pid_acc=0.6756
epoch=08 train_loss=-2.47408 val_loss=-2.82732 val_nll=-4.82493 val_joint_nll=-3.82612 val_pid_acc=0.6750
epoch=09 train_loss=-2.60684 val_loss=-2.87769 val_nll=-4.87142 val_joint_nll=-3.87456 val_pid_acc=0.6762
epoch=10 train_loss=-2.76068 val_loss=-2.92442 val_nll=-4.91968 val_joint_nll=-3.92205 val_pid_acc=0.6757
epoch=11 train_loss=-2.85229 val_loss=-3.01338 val_nll=-5.00754 val_joint_nll=-4.01046 val_pid_acc=0.6765
epoch=12 train_loss=-2.93218 val_loss=-2.98491 val_nll=-4.97830 val_joint_nll=-3.98161 val_pid_acc=0.6764
epoch=13 train_loss=-2.99643 val_loss=-3.10851 val_nll=-5.08980 val_joint_nll=-4.09916 val_pid_acc=0.6772
epoch=14 train_loss=-3.05019 val_loss=-3.06586 val_nll=-5.05130 val_joint_nll=-4.05858 val_pid_acc=0.6765
epoch=15 train_loss=-3.08496 val_loss=-3.13162 val_nll=-5.11396 val_joint_nll=-4.12279 val_pid_acc=0.6768
epoch=16 train_loss=-3.11609 val_loss=-3.21923 val_nll=-5.19647 val_joint_nll=-4.20785 val_pid_acc=0.6773
epoch=17 train_loss=-3.13118 val_loss=-3.17223 val_nll=-5.15150 val_joint_nll=-4.16186 val_pid_acc=0.6762
epoch=18 train_loss=-3.14867 val_loss=-3.19458 val_nll=-5.17281 val_joint_nll=-4.18369 val_pid_acc=0.6762
epoch=19 train_loss=-3.16924 val_loss=-3.18526 val_nll=-5.16580 val_joint_nll=-4.17553 val_pid_acc=0.6761
epoch=20 train_loss=-3.17612 val_loss=-3.20020 val_nll=-5.17789 val_joint_nll=-4.18904 val_pid_acc=0.6771
epoch=21 train_loss=-3.18604 val_loss=-3.25415 val_nll=-5.22715 val_joint_nll=-4.24065 val_pid_acc=0.6770
epoch=22 train_loss=-3.19348 val_loss=-3.23816 val_nll=-5.21169 val_joint_nll=-4.22492 val_pid_acc=0.6765
epoch=23 train_loss=-3.20916 val_loss=-3.26578 val_nll=-5.23728 val_joint_nll=-4.25153 val_pid_acc=0.6772
epoch=24 train_loss=-3.21459 val_loss=-3.26293 val_nll=-5.23470 val_joint_nll=-4.24881 val_pid_acc=0.6777
epoch=25 train_loss=-3.22455 val_loss=-3.25235 val_nll=-5.22137 val_joint_nll=-4.23686 val_pid_acc=0.6775
