generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,46244,0.5486982094974483,0.5516160130500793
211,pi+,56817,0.5877994262280656,0.587509274482727
2212,proton,56206,0.8132939543820944,0.816636860370636
