run,training_seed,split_seed,pid_loss_weight,epochs_run,best_epoch,validation_joint_nll,validation_pid_accuracy,test_joint_nll,test_residual_nll,test_pid_cross_entropy,test_pid_accuracy,test_pid_weighted_mean_tv,selected,reached_better_solution
pid_restart_s24_301,301,20260824,2.0,70,66,-4.218453547836322,0.6760326428123038,-4.219608622248938,-5.203530620191678,0.98392199794274,0.6785146954485235,0.009908494217705276,False,False
pid_restart_s24_302,302,20260824,2.0,70,69,-4.3605865996540984,0.6760703075957313,-4.363466710886066,-5.347389892108267,0.9839231812222003,0.6784770228609819,0.01058614089445901,False,False
pid_restart_s24_303,303,20260824,2.0,70,70,-4.355759124859129,0.6760577526679221,-4.357286050222338,-5.341266802935723,0.9839807527133854,0.6784833016255721,0.009849934579520776,False,False
pid_restart_s24_304,304,20260824,2.0,70,69,-4.3619077657425995,0.6761016949152543,-4.366186050324888,-5.350167553472154,0.9839815031472663,0.6784267927442597,0.01037417931554616,False,False
pid_restart_s24_305,305,20260824,2.0,70,69,-4.941027485522847,0.7362586315128689,-4.938519140611894,-5.667140198122761,0.728621057510867,0.7365304802627035,0.010720317010698161,True,True
pid_restart_s24_306,306,20260824,2.0,70,70,-4.363849189838223,0.676045197740113,-4.366082492049586,-5.350017851819511,0.9839353597699247,0.6784393502734402,0.010202096025417209,False,False
