variable,bin_index,low,high,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_mc,absolute_difference,observed_binomial_standard_error,fm_mean_standard_error
gen_p,2,2.0,3.0,110932,0.5289096236228943,0.5303325057029724,0.001422882080078125,0.001422882080078125,0.0014986990405836684,0.0012303334662817499
gen_p,3,3.0,4.0,97129,0.5383561849594116,0.5375121831893921,-0.0008440017700195312,0.0008440017700195312,0.0015996092446796256,0.0013380178343924548
gen_p,4,4.0,5.0,83190,0.5287294387817383,0.5278956890106201,-0.0008337497711181641,0.0008337497711181641,0.0017306782651464283,0.0014710904502075696
gen_p,5,5.0,6.0,68914,0.5125083327293396,0.5109579563140869,-0.0015503764152526855,0.0015503764152526855,0.0019040587062188212,0.0016403320314270992
gen_p,6,6.0,7.0,55289,0.48089131712913513,0.47600024938583374,-0.004891067743301392,0.004891067743301392,0.0021248743149229975,0.0018512641891339902
gen_p,7,7.0,8.0,41945,0.43163666129112244,0.4247773289680481,-0.006859332323074341,0.006859332323074341,0.0024184220357371406,0.002122145126569114
gen_p,8,8.0,9.0,27547,0.34384870529174805,0.33859536051750183,-0.005253344774246216,0.005253344774246216,0.00286186100599724,0.0025156045895688432
gen_p,9,9.0,11.0,15492,0.19203460216522217,0.1875362992286682,-0.004498302936553955,0.004498302936553955,0.0031646987960863046,0.0026894674710989043
