variable,bin_index,low,high,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_mc,absolute_difference,observed_binomial_standard_error,fm_mean_standard_error
gen_vz,1,-12.0,-10.0,1234,0.49675852060317993,0.5016476511955261,0.004889130592346191,0.004889130592346191,0.014233224445961238,0.011702287255703233
gen_vz,2,-10.0,-8.0,10279,0.49041736125946045,0.49424946308135986,0.003832101821899414,0.003832101821899414,0.004930770588127114,0.004102770356016296
gen_vz,3,-8.0,-6.0,46084,0.49231836199760437,0.49055173993110657,-0.0017666220664978027,0.0017666220664978027,0.002328861498223951,0.001959955878021582
gen_vz,4,-6.0,-4.0,115007,0.49253523349761963,0.49196991324424744,-0.0005653202533721924,0.0005653202533721924,0.0014742103684097776,0.0012506205376031437
gen_vz,5,-4.0,-2.0,155905,0.4947884976863861,0.49247878789901733,-0.0023097097873687744,0.0023097097873687744,0.0012662410554842457,0.0010808951679712306
gen_vz,6,-2.0,0.0,114518,0.4957473874092102,0.4925616979598999,-0.0031856894493103027,0.0031856894493103027,0.001477465737109504,0.0012686070682302471
gen_vz,7,0.0,2.0,45959,0.49807438254356384,0.49707892537117004,-0.0009954571723937988,0.0009954571723937988,0.002332284351182693,0.0020063638736178024
gen_vz,8,2.0,4.0,10069,0.49021750688552856,0.4885968565940857,-0.001620650291442871,0.001620650291442871,0.004981884980101139,0.0043229447050424
gen_vz,9,4.0,6.0,1220,0.49098360538482666,0.5046354532241821,0.013651847839355469,0.013651847839355469,0.014312630688876981,0.012452900363985374
